LibraryAdministration,LibraryCode,ID,Library,Address,ZIPcode,Town,wikidata:Town,Province,wikidata:Province,Telephone,Email
Red de Bibliotecas Municipales de Albacete,68,02009721210,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Magallanes, 14",2005,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967248774,industria.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,888,02009721211,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Teruel, 13",2005,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967224388,elpilar.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,67,02009721209,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"José de Espronceda, s/n",2006,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967248640,hnosfalco.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,64,02009721208,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"José Echegaray, 26",2006,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967512703,sanpablo.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,936,020097210447,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Cardenal Tabera y Araoz, s/n",2006,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967523043,saramago.bibliotecas@ayto-albacete.es
Biblioteca Pública Municipal de Aguas Nuevas,831,02008216434,BIBLIOTECA PÚBLICA MUNICIPAL DE AGUAS NUEVAS,"Avenida de Albacete, 21",2049,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967273572,bibliotecaaguasnuevas@gmail.com
Red de Bibliotecas Municipales de Albacete,57,02009721212,BIBLIOTECA PÚBLICA MUNICIPAL ALBACETE  PEDANÍA,"Carretera de Las Peñas, 11",2140,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967271729,elsalobral.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,877,02009721205,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Deportes, s/n  (Tinajeros)",2155,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967252101,tinajeros.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,920,02009728390,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Nueva, 30 (Argamasón)",2328,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967576149,argamason.bibliotecas@ayto-albacete.es
Red de Bibliotecas Municipales de Albacete,736,02009721203,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE,"Avda. del Príncipe, 15",2328,Albacete,https://www.wikidata.org/wiki/Q15095,Albacete Province,https://www.wikidata.org/wiki/Q54889,967270088,santaana.bibliotecas@ayto-albacete.es
Biblioteca Pública Municipal de Albatana,112,02002772624,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBATANA,"La Vega, s/n",2653,Albatana,https://www.wikidata.org/wiki/Q559221,Albacete Province,https://www.wikidata.org/wiki/Q54889,967323717,bibliotecaalbatana@gmail.com
Sala de Lectura Pública de Alborea,750,02010482671,BIBLIOTECA PÚBLICA MUNICIPAL DE ALBOREA,"Casas Ibáñez, 2",2215,Alborea,https://www.wikidata.org/wiki/Q559216,Albacete Province,https://www.wikidata.org/wiki/Q54889,967860500,alborea@dipualba.es
Biblioteca Pública Municipal de Alcalá del Júcar,113,02009352667,BIBLIOTECA PÚBLICA MUNICIPAL DE ALCALÁ DEL JÚCAR,"Olmeda, 33",2210,Alcalá del Júcar,https://www.wikidata.org/wiki/Q559148,Albacete Province,https://www.wikidata.org/wiki/Q54889,967473141,biblioalcala@gmail.com
Biblioteca Pública Municipal de Alcaraz,114,02002832625,BIBLIOTECA PÚBLICA MUNICIPAL DE ALCARAZ,"Mayor, 50",2300,Alcaraz,https://www.wikidata.org/wiki/Q559140,Albacete Province,https://www.wikidata.org/wiki/Q54889,967380502,bibliotecaalcaraz@yahoo.es
Red de Bibliotecas Públicas Municipales de Almansa,115,02010641233,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMANSA,"Aragón, 19-21",2640,Almansa,https://www.wikidata.org/wiki/Q13930,Albacete Province,https://www.wikidata.org/wiki/Q54889,967344444,rociobt@ayto-almansa.es
Red de Bibliotecas Públicas Municipales de Almansa,848,02010646475,BIBLIOTECA PÚBLICA MUNICIPAL DE ALMANSA.,"Plaza Santiago Bernabeu, s/n",2640,Almansa,https://www.wikidata.org/wiki/Q13930,Albacete Province,https://www.wikidata.org/wiki/Q54889,967313329,rociobt@ayto-almansa.es
Biblioteca Pública Municipal de Alpera,116,02007822664,BIBLIOTECA PÚBLICA MUNICIPAL DE ALPERA,"Plaza del Ayuntamiento, 14",2690,Alpera,https://www.wikidata.org/wiki/Q559144,Albacete Province,https://www.wikidata.org/wiki/Q54889,967330555,bpmalpera@hotmail.es
Biblioteca Pública Municipal de Balazote,118,02010702673,BIBLIOTECA PÚBLICA MUNICIPAL DE BALAZOTE,"Lonja, 1",2320,Balazote,https://www.wikidata.org/wiki/Q574364,Albacete Province,https://www.wikidata.org/wiki/Q54889,967367009,biblioteca.balazote@dipualba.es
Biblioteca Pública Municipal de El Ballestero,119,02003172627,BIBLIOTECA PÚBLICA MUNICIPAL DE EL BALLESTERO,"Calle Nueva, s/n",2614,El Ballestero,https://www.wikidata.org/wiki/Q575814,Albacete Province,https://www.wikidata.org/wiki/Q54889,967384009,mariabiblioballes@gmail.com
Biblioteca Pública Municipal de Barrax,120,02003222628,BIBLIOTECA PÚBLICA MUNICIPAL DE BARRAX,"Plaza Alcalde Domingo Castillejo, 1",2639,Barrax,https://www.wikidata.org/wiki/Q1606184,Albacete Province,https://www.wikidata.org/wiki/Q54889,967364620,jorgebbx@gmail.com
Biblioteca Pública Municipal de Bienservida,121,020033810439,BIBLIOTECA PÚBLICA MUNICIPAL DE BIENSERVIDA,"Duque de Ahumada, 2",2360,Bienservida,https://www.wikidata.org/wiki/Q574369,Albacete Province,https://www.wikidata.org/wiki/Q54889,967394241,bibliobienservida@gmail.com
Biblioteca Pública Municipal de Bogarra,122,02003432629,BIBLIOTECA PÚBLICA MUNICIPAL DE BOGARRA,Calvario 26,2130,Bogarra,https://www.wikidata.org/wiki/Q1606133,Albacete Province,https://www.wikidata.org/wiki/Q54889,609406101,bibliobogarra@hotmail.com
Biblioteca Pública Municipal de Bonete,123,02009402668,BIBLIOTECA PÚBLICA MUNICIPAL DE BONETE,"Murillo, 18",2691,Bonete,https://www.wikidata.org/wiki/Q943394,Albacete Province,https://www.wikidata.org/wiki/Q54889,967334156,bibliobonete@hotmail.com
Biblioteca Pública Municipal de El Bonillo,124,02003692630,BIBLIOTECA PÜBLICA MUNICIPAL DE EL BONILLO,"Don Quijote, s/n",2610,El Bonillo,https://www.wikidata.org/wiki/Q54883,Albacete Province,https://www.wikidata.org/wiki/Q54889,967371227,bibliobonillo@gmail.com
Biblioteca Pública Municipal de Carcelén,125,02010862674,BIBLIOTECA PÚBLICA MUNICIPAL DE CARCELÉN,"Plaza de Juan José Gómez Molina, s/n",2153,Carcelén,https://www.wikidata.org/wiki/Q574372,Albacete Province,https://www.wikidata.org/wiki/Q54889,967403022,raquelsotos2003@yahoo.es
Biblioteca Pública Municipal de Casas de Juan Núñez,126,02003752631,BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE JUAN NÚÑEZ,"Miguel Hernández, 2",2151,Casas de Juan Núñez,https://www.wikidata.org/wiki/Q574366,Albacete Province,https://www.wikidata.org/wiki/Q54889,620578427,casas-juan-nunez@local.jccm.es
Biblioteca Pública Municipal de Casas de Ves,127,02003812632,BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE VES,"La Marquesa, 15",2212,Casas de Ves,https://www.wikidata.org/wiki/Q1606156,Albacete Province,https://www.wikidata.org/wiki/Q54889,967475062,bpmcasasdeves@hotmail.com
Biblioteca Pública Municipal de Casas Ibáñez,129,02003942633,BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS IBÁÑEZ,"Plaza de la Constitución, 9",2200,Casas-Ibáñez,https://www.wikidata.org/wiki/Q575715,Albacete Province,https://www.wikidata.org/wiki/Q54889,967460903,biblioteca@casasibanez.com
Biblioteca Pública Municipal de Caudete,130,02004082634,BIBLIOTECA PÚBLICA MUNICIPAL DE CAUDETE,"Eras, 33",2660,Caudete,https://www.wikidata.org/wiki/Q1606055,Albacete Province,https://www.wikidata.org/wiki/Q54889,965828131,biblioteca@caudete.org
Biblioteca Pública Municipal de Cenizate,709,02011032676,BIBLIOTECA PÚBLICA MUNICIPAL DE CENIZATE,"Botica, 4",2247,Cenizate,https://www.wikidata.org/wiki/Q575811,Albacete Province,https://www.wikidata.org/wiki/Q54889,967489596,biblioteca.cenizate@dipualba.es
Biblioteca Pública Municipal de Chinchilla de Monte-Aragón,131,02004152635,BIBLIOTECA PÚBLICA MUNICIPAL DE CHINCHILLA DE MONTE-ARAGÓN,"Arco de la Plaza, 5",2520,Chinchilla de Montearagón,https://www.wikidata.org/wiki/Q575893,Albacete Province,https://www.wikidata.org/wiki/Q54889,967260658,chinbiblio@hotmail.com
Sala de Lectura Pública de Corral-Rubio,710,02011102677,BIBLIOTECA PÚBLICA MUNICIPAL DE CORRAL-RUBIO,"Gabinete, 24",2693,Corral-Rubio,https://www.wikidata.org/wiki/Q575718,Albacete Province,https://www.wikidata.org/wiki/Q54889,967285100,bibliocorralvilla@hotmail.com
Biblioteca Pública Municipal de Elche de La Sierra,132,02004202636,BIBLIOTECA PÚBLICA MUNICIPAL DE ELCHE DE LA SIERRA,"Calderón de la Barca, s/n",2430,Elche de la Sierra,https://www.wikidata.org/wiki/Q575812,Albacete Province,https://www.wikidata.org/wiki/Q54889,967417054,biblioelchesierra@gmail.com
Biblioteca Pública Municipal de Férez,133,02011252678,BIBLIOTECA PÚBLICA MUNICIPAL DE FÉREZ,"Cantarería, 28",2436,Férez,https://www.wikidata.org/wiki/Q782032,Albacete Province,https://www.wikidata.org/wiki/Q54889,967420207,biblioteca-ferez@hotmail.com
Biblioteca Pública Municipal de Fuente-Álamo,134,02004362637,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTE-ÁLAMO,"Colegios, 2",2651,Fuente-Álamo,https://www.wikidata.org/wiki/Q599774,Albacete Province,https://www.wikidata.org/wiki/Q54889,967321784,lmillapalencia@yahoo.es
Bibliotecas dependientes del Ayuntamiento de Fuentealbilla,818,02004411216,BIBLIOTECA PÚBLICA MUNICIPAL DE BORMATE,"Monjas, 36",2249,Fuentealbilla,https://www.wikidata.org/wiki/Q389171,Albacete Province,https://www.wikidata.org/wiki/Q54889,967471791,mreque55@hotmail.com
Bibliotecas dependientes del Ayuntamiento de Fuentealbilla,135,02004416468,BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTEALBILLA,"Fuente Grande, 4",2260,Fuentealbilla,https://www.wikidata.org/wiki/Q389171,Albacete Province,https://www.wikidata.org/wiki/Q54889,967472510,fuentealbilla.capi@jccm.es
Biblioteca Pública Municipal de La Gineta,136,02004542638,BIBLIOTECA PÚBLICA MUNICIPAL DE LA GINETA,"Lope de Vega, 11",2110,La Gineta,https://www.wikidata.org/wiki/Q1614683,Albacete Province,https://www.wikidata.org/wiki/Q54889,967275704,biblioteca.gineta@dipualba.es
Red de Bibliotecas Públicas Municipales de Hellín,137,02004676469,BIBLIOTECA PÚBLICA MUNICIPAL DE HELLÍN,"Plaza de las Monjas, 3",2400,Hellín,https://www.wikidata.org/wiki/Q842652,Albacete Province,https://www.wikidata.org/wiki/Q54889,967541502,biblioteca@hellin.es
Red de Bibliotecas Públicas Municipales de Hellín,910,02004678389,BIBLIOTECA PÚBLICA MUNICIPAL BARRIO DE LA ESTACIÓN,"Andrómeda, s/n",2400,Hellín,https://www.wikidata.org/wiki/Q842652,Albacete Province,https://www.wikidata.org/wiki/Q54889,967306248,bibliored.estacion@hellin.es
Red de Bibliotecas Públicas Municipales de Hellín,743,02004671221,BIBLIOTECA PÚBLICA MUNICIPAL DE CAÑADA DE AGRA,"Plaza de la Constitución, s/n",2409,Hellín,https://www.wikidata.org/wiki/Q842652,Albacete Province,https://www.wikidata.org/wiki/Q54889,661438610,bibliored.salas@hellin.es
Red de Bibliotecas Públicas Municipales de Hellín,742,02004671219,BIBLIOTECA PÚBLICA MUNICIPAL DE MINGOGIL,"Real, 13",2409,Hellín,https://www.wikidata.org/wiki/Q842652,Albacete Province,https://www.wikidata.org/wiki/Q54889,661438610,bibliored.salas@hellin.es
Red de Bibliotecas Públicas Municipales de Hellín,741,02004671217,BIBLIOTECA PÚBLICA MUNICIPAL DE NAVA DE CAMPAÑA,"Maestros, 7",2409,Hellín,https://www.wikidata.org/wiki/Q842652,Albacete Province,https://www.wikidata.org/wiki/Q54889,661438610,bibliored.salas@hellin.es
Red de Bibliotecas Públicas Municipales de Hellín,738,02004671220,BIBLIOTECA PÚBLICA MUNICIPAL DE ISSO,"Carretera de Jaén, 22",2420,Hellín,https://www.wikidata.org/wiki/Q842652,Albacete Province,https://www.wikidata.org/wiki/Q54889,967308401,bibliored.isso@hellin.es
Red de Bibliotecas Públicas Municipales de Hellín,737,02004671218,BIBLIOTECA PÚBLICA MUNICIPAL DE AGRAMÓN,"Manuel Díaz Cano, nº 18",2490,Hellín,https://www.wikidata.org/wiki/Q842652,Albacete Province,https://www.wikidata.org/wiki/Q54889,967322100,bibliored.agramon@hellin.es
Biblioteca Pública Municipal de Higueruela,139,02004892640,BIBLIOTECA PÚBLICA MUNICIPAL DE HIGUERUELA,"Juan Carlos I, 1",2694,Higueruela,https://www.wikidata.org/wiki/Q1615193,Albacete Province,https://www.wikidata.org/wiki/Q54889,967287196,bibliohigueruela@hotmail.com
Sala de Lectura Pública de Hoya-Gonzalo,711,02011972679,BIBLIOTECA PÚBLICA MUNICIPAL DE HOYA-GONZALO,"Calle Nueva, s/n",2696,Hoya-Gonzalo,https://www.wikidata.org/wiki/Q1623088,Albacete Province,https://www.wikidata.org/wiki/Q54889,967287666,bibliotecahoya@yahoo.es
Biblioteca Pública Municipal de Letur,141,02009532669,BIBLIOTECA PÚBLICA MUNICIPAL DE LETUR,"Portalico, 7",2434,Letur,https://www.wikidata.org/wiki/Q582823,Albacete Province,https://www.wikidata.org/wiki/Q54889,967426304,julian.letur@dipualba.es
Bibliotecas dependientes del Ayuntamiento de Lezuza,142,02009666472,BIBLIOTECA PÚBLICA MUNICIPAL DE LEZUZA,"Travesía Posito, 3",2160,Lezuza,https://www.wikidata.org/wiki/Q582778,Albacete Province,https://www.wikidata.org/wiki/Q54889,967354298,v_munera@hotmail.com
Bibliotecas dependientes del Ayuntamiento de Lezuza,834,02009661232,BIBLIOTECA PÚBLICA MUNICIPAL DE TIRIEZ,"Belen, s/n (Tiriez)",2161,Lezuza,https://www.wikidata.org/wiki/Q582778,Albacete Province,https://www.wikidata.org/wiki/Q54889,967350430,bibliotecatiriez@hotmail.com
Biblioteca Pública Municipal de Liétor,712,02004922641,BIBLIOTECA PÚBLICA MUNICIPAL DE LIÉTOR,"Molinos, 1",2410,Liétor,https://www.wikidata.org/wiki/Q582808,Albacete Province,https://www.wikidata.org/wiki/Q54889,967200312,bpm.lietor@jccm.es
Biblioteca Pública Municipal de Madrigueras,144,02005052642,BIBLIOTECA PÚBLICA MUNICIPAL DE MADRIGUERAS,"Pablo Picasso, s/n",2230,Madrigueras,https://www.wikidata.org/wiki/Q582891,Albacete Province,https://www.wikidata.org/wiki/Q54889,967484812,biblioteca.madrigueras@dipualba.es
Biblioteca Pública Municipal de Mahora,145,02005122643,BIBLIOTECA PÚBLICA MUNICIPAL DE MAHORA,"Tercia, 1",2240,Mahora,https://www.wikidata.org/wiki/Q54878,Albacete Province,https://www.wikidata.org/wiki/Q54889,967494320,bibliotecamahora@hotmail.com
Biblioteca Pública Municipal de Minaya,146,02005272644,BIBLIOTECA PÚBLICA MUNICIPAL DE MINAYA,"Los Árboles, 4",2620,Minaya,https://www.wikidata.org/wiki/Q582832,Albacete Province,https://www.wikidata.org/wiki/Q54889,967450006,carmenj_a@hotmail.com
Biblioteca Municipal de Molinicos,147,02005332645,BIBLIOTECA MUNICIPAL DE MOLINICOS,"Mayor, 35 bajo",2440,Molinicos,https://www.wikidata.org/wiki/Q192390,Albacete Province,https://www.wikidata.org/wiki/Q54889,967437001,bibliotecamolinicos@gmail.com
Biblioteca Pública Municipal de Montealegre del Castillo,148,02005482646,BIBLIOTECA PÚBLICA MUNICIPAL DE MONTEALEGRE DEL CASTILLO,"Capataz Santiago, 10",2650,Montealegre del Castillo,https://www.wikidata.org/wiki/Q593904,Albacete Province,https://www.wikidata.org/wiki/Q54889,648973091,bpm@montealegredelcastillo.es
Biblioteca Pública Municipal de Munera,149,02005512647,BIBLIOTECA PÚBLICA MUNICIPAL DE MUNERA,"Tilanes, 23",2612,Munera,https://www.wikidata.org/wiki/Q941956,Albacete Province,https://www.wikidata.org/wiki/Q54889,967375137,bpm.munera@jccm.es
Biblioteca Pública Municipal de Nerpio,150,02005702648,BIBLIOTECA PÚBLICA MUNICIPAL DE NERPIO,"Plaza Mayor, 8",2530,Nerpio,https://www.wikidata.org/wiki/Q593528,Albacete Province,https://www.wikidata.org/wiki/Q54889,967438196,cculturanerpio@hotmail.com
Biblioteca Pública Municipal de Ontur,151,02005862649,BIBLIOTECA PÚBLICA MUNICIPAL DE ONTUR,"Plaza del Alcalde Joaquín Ortí Martínez, 7",2652,Ontur,https://www.wikidata.org/wiki/Q1614888,Albacete Province,https://www.wikidata.org/wiki/Q54889,967324206,biblioteca.ontur@dipualba.es
Biblioteca Pública Municipal de Ossa de Montiel,152,02005992650,BIBLIOTECA PÚBLICA MUNICIPAL DE OSSA DE MONTIEL,"Príncipe de Asturias, 40",2611,Ossa de Montiel,https://www.wikidata.org/wiki/Q593918,Albacete Province,https://www.wikidata.org/wiki/Q54889,967378101,biblioteca.ossa@dipualba.es
Biblioteca Publica Municipal Paterna del Madera,153,02006032651,BIBLIOTECA PÚBLICA MUNICIPAL DE PATERNA DEL MADERA,"Libertad, 64",2136,Paterna del Madera,https://www.wikidata.org/wiki/Q683624,Albacete Province,https://www.wikidata.org/wiki/Q54889,664219817,bibliopaternademadera@hotmail.es
Biblioteca Pública Municipal de Peñas de San Pedro,926,NN846510443,BIBLIOTECA PÚBLICA MUNICIPAL DE PEÑAS DE SAN PEDRO,"Cristo del Sahúco, s/n",2120,Peñas de San Pedro,https://www.wikidata.org/wiki/Q1623065,Albacete Province,https://www.wikidata.org/wiki/Q54889,967292640,msarriotierraseca@yahoo.es
Biblioteca Pública Municipal de Peñascosa,715,02012232682,BIBLIOTECA PÚBLICA MUNICIPAL DE PEÑASCOSA,Plaza Mayor 1,2313,Peñascosa,https://www.wikidata.org/wiki/Q1614899,Albacete Province,https://www.wikidata.org/wiki/Q54889,967382466,bibliopenascosa@gmail.com
Biblioteca Pública Municipal de Pétrola,154,02006252652,BIBLIOTECA PÚBLICA MUNICIPAL DE PETROLA,"Constitución, s/n",2692,Pétrola,https://www.wikidata.org/wiki/Q605252,Albacete Province,https://www.wikidata.org/wiki/Q54889,967286306,petrola.capi@jccm.es
Biblioteca Pública Municipal de Povedilla,155,02006312653,BIBLIOTECA PÚBLICA MUNICIPAL DE POVEDILLA,"Doctor Fleming, 4",2311,Povedilla,https://www.wikidata.org/wiki/Q605270,Albacete Province,https://www.wikidata.org/wiki/Q54889,999999999,bibliotecapovedilla@hotmail.com
Biblioteca Pública Municipal de Pozo Cañada,59,02012392683,BIBLIOTECA PÚBLICA MUNICIPAL DE POZO CAÑADA,"Alcalde Joaquín Azorín, 8",2510,Pozo Cañada,https://www.wikidata.org/wiki/Q605265,Albacete Province,https://www.wikidata.org/wiki/Q54889,684450530,biblioteca@pozocanada.es
Bibliotecas dependientes del Ayuntamiento de Pozohondo,157,02009886474,BIBLIOTECA PÚBLICA MUNICIPAL DE POZOHONDO,"Hellin, 13",2141,Pozohondo,https://www.wikidata.org/wiki/Q1623146,Albacete Province,https://www.wikidata.org/wiki/Q54889,967293408,bpmpozohondo@yahoo.es
Bibliotecas dependientes del Ayuntamiento de Pozohondo,806,02009881223,BIBLIOTECA PÚBLICA MUNICIPAL DE NAVA DE ABAJO,"Noria, 10",2142,Pozohondo,https://www.wikidata.org/wiki/Q1623146,Albacete Province,https://www.wikidata.org/wiki/Q54889,967293450,bibliotecadenavadeabajo@gmail.com
Biblioteca Pública Municipal de Pozo-Lorente,156,02009912670,BIBLIOTECA PÚBLICA MUNICIPAL DE POZO-LORENTE,"Libertad, 17",2154,Pozo-Lorente,https://www.wikidata.org/wiki/Q605229,Albacete Province,https://www.wikidata.org/wiki/Q54889,967406448,bibliotecapl@hotmail.com
Biblioteca Pública Municipal de Pozuelo,807,02012572684,BIBLIOTECA PÚBLICA MUNICIPAL DE POZUELO,"Torca, 9",2327,Pozuelo,https://www.wikidata.org/wiki/Q605218,Albacete Province,https://www.wikidata.org/wiki/Q54889,967363899,pozueloab.capi@jccm.es
Biblioteca Pública Municipal de Riópar,158,02006462654,BIBLIOTECA PÚBLICA MUNICIPAL DE RIÓPAR,"Plaza de Luis Escudero,2,  1º",2450,Riópar,https://www.wikidata.org/wiki/Q605263,Albacete Province,https://www.wikidata.org/wiki/Q54889,967435001,bibliotecariop@hotmail.com
Biblioteca Pública Municipal de La Roda,160,02006592655,BIBLIOTECA PÚBLICA MUNICIPAL DE LA RODA,"General de la Torre, 12",2630,La Roda,https://www.wikidata.org/wiki/Q630706,Albacete Province,https://www.wikidata.org/wiki/Q54889,967445242,antoniaescobar@laroda.es
Biblioteca Pública Municipal de Salobre,747,02012952685,BIBLIOTECA PÚBLICA MUNICIPAL DE SALOBRE,"Nueva, 1",2316,Salobre,https://www.wikidata.org/wiki/Q1602450,Albacete Province,https://www.wikidata.org/wiki/Q54889,967382036,bibliosalobre@hotmail.com
Biblioteca Pública Municipal de San Pedro,740,02013092686,BIBLIOTECA PÚBLICA MUNICIPAL DE SAN PEDRO,"Castilla-La Mancha, 1",2326,San Pedro,https://www.wikidata.org/wiki/Q1647551,Albacete Province,https://www.wikidata.org/wiki/Q54889,699524125,bibliosanpedrored@gmail.com
Bibliotecas dependientes del Ayuntamiento de Socovos,161,02006786470,BIBLIOTECA PÚBLICA MUNICIPAL DE SOCOVOS,"Coronel Navarro, 39",2435,Socovos,https://www.wikidata.org/wiki/Q652654,Albacete Province,https://www.wikidata.org/wiki/Q54889,967420381,bpm.socovos@jccm.es
Bibliotecas dependientes del Ayuntamiento de Socovos,837,02006781260,BIBLIOTECA PÚBLICA MUNICIPAL DE TAZONA-LOS OLMOS,"Las Escuelas, s/n",2437,Socovos,https://www.wikidata.org/wiki/Q652654,Albacete Province,https://www.wikidata.org/wiki/Q54889,967413706,bibliotazona@hotmail.com
Biblioteca Pública Municipal de Tarazona,162,02006842656,BIBLIOTECA PÚBLICA MUNICIPAL DE TARAZONA DE LA MANCHA,"Rambla Alta, 33",2100,Tarazona de la Mancha,https://www.wikidata.org/wiki/Q611263,Albacete Province,https://www.wikidata.org/wiki/Q54889,967497511,biblioteca.tarazona@dipualba.es
Bibliotecas dependientes del Ayuntamiento de Tobarra,163,02006976471,BIBLIOTECA PÚBLICA MUNICIPAL DE TOBARRA,"Juan Carlos I, 16",2500,Tobarra,https://www.wikidata.org/wiki/Q1622986,Albacete Province,https://www.wikidata.org/wiki/Q54889,967328162,bibliotecatobarra@gmail.com
Bibliotecas dependientes del Ayuntamiento de Tobarra,744,02006971226,SALA DE LECTURA PÚBLICA,"Camino de los Roques, 1",2513,Tobarra,https://www.wikidata.org/wiki/Q1622986,Albacete Province,https://www.wikidata.org/wiki/Q54889,967328162,salalectura.cordovilla@gmail.com
Bibliotecas dependientes del Ayuntamiento de Tobarra,745,02006971227,BIBLIOTECA PÚBLICA MUNICIPAL DE SANTIAGO DE MORA,Plaza de la Iglesia,2513,Tobarra,https://www.wikidata.org/wiki/Q1622986,Albacete Province,https://www.wikidata.org/wiki/Q54889,967328162,salalectura.santiagodemora@gmail.com
