Datos;Nombre Unidad Administrativa;Código Biblioteca;Nidem biblioteca;Nombre biblioteca;Dirección;Código postal;Municipio;Provincia;Teléfono;Correo electrónico;Tipo de servicio
2019;Red de Bibliotecas Municipales de Albacete;64;0200972-1208;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;José Echegaray, 26;2006;Albacete;Albacete;967512703;sanpablo.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;936;0200972-10447;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Cardenal Tabera y Araoz, s/n;2006;Albacete;Albacete;967523043;saramago.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Biblioteca Pública Municipal de Aguas Nuevas ;831;0200821-6434;BIBLIOTECA PÚBLICA MUNICIPAL DE AGUAS NUEVAS;Avenida de Albacete, 21;2049;Albacete;Albacete;967273572;bibliotecaaguasnuevas@gmail.com;Biblioteca Pública Municipal
2019;Red de Bibliotecas Municipales de Albacete;57;0200972-1212;BIBLIOTECA PÚBLICA MUNICIPAL ALBACETE  PEDANÍA ;Carretera de Las Peñas, 11;2140;Albacete;Albacete;967271729;elsalobral.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;877;0200972-1205;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Deportes, s/n  (Tinajeros);2155;Albacete;Albacete;967252101;tinajeros.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;920;0200972-8390;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Nueva, 30 (Argamasón);2328;Albacete;Albacete;967576149;argamason.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Municipales de Albacete;736;0200972-1203;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBACETE ;Avda. del Príncipe, 15;2328;Albacete;Albacete;967270088;santaana.bibliotecas@ayto-albacete.es;Biblioteca Pública Municipal de Barrio
2019;Biblioteca Pública Municipal de Albatana;112;0200277-2624;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBATANA;La Vega, s/n;2653;Albatana;Albacete;967323717;bibliotecaalbatana@gmail.com;Biblioteca Pública Municipal
2019;Sala de Lectura Pública de Alborea;750;0201048-2671;BIBLIOTECA PÚBLICA MUNICIPAL DE ALBOREA;Casas Ibáñez, 2;2215;Alborea;Albacete;967860500;alborea@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Alcalá del Júcar;113;0200935-2667;BIBLIOTECA PÚBLICA MUNICIPAL DE ALCALÁ DEL JÚCAR;Olmeda, 33;2210;Alcalá del Júcar;Albacete;967473141;biblioalcala@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Alcaraz;114;0200283-2625;BIBLIOTECA PÚBLICA MUNICIPAL DE ALCARAZ;Mayor, 50;2300;Alcaraz;Albacete;967380502;bibliotecaalcaraz@yahoo.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Almansa;115;0201064-1233;BIBLIOTECA PÚBLICA MUNICIPAL DE ALMANSA;Aragón, 19-21;2640;Almansa;Albacete;967344444;rociobt@ayto-almansa.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Almansa;848;0201064-6475;BIBLIOTECA PÚBLICA MUNICIPAL DE ALMANSA.  ;Plaza Santiago Bernabeu, s/n;2640;Almansa;Albacete;967313329;rociobt@ayto-almansa.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Alpera;116;0200782-2664;BIBLIOTECA PÚBLICA MUNICIPAL DE ALPERA;Plaza del Ayuntamiento, 14;2690;Alpera;Albacete;967330555;bpmalpera@hotmail.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Balazote;118;0201070-2673;BIBLIOTECA PÚBLICA MUNICIPAL DE BALAZOTE;Lonja, 1;2320;Balazote;Albacete;967367009;biblioteca.balazote@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de El Ballestero;119;0200317-2627;BIBLIOTECA PÚBLICA MUNICIPAL DE EL BALLESTERO ;Calle Nueva, s/n;2614;Ballestero (El);Albacete;967384009;mariabiblioballes@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Barrax;120;0200322-2628;BIBLIOTECA PÚBLICA MUNICIPAL DE BARRAX;Plaza Alcalde Domingo Castillejo, 1;2639;Barrax;Albacete;967364620;jorgebbx@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Bienservida;121;0200338-10439;BIBLIOTECA PÚBLICA MUNICIPAL DE BIENSERVIDA;Duque de Ahumada, 2;2360;Bienservida;Albacete;967394241;bibliobienservida@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Bogarra;122;0200343-2629;BIBLIOTECA PÚBLICA MUNICIPAL DE BOGARRA;Calvario 26;2130;Bogarra;Albacete;609406101;bibliobogarra@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Bonete;123;0200940-2668;BIBLIOTECA PÚBLICA MUNICIPAL DE BONETE;Murillo, 18;2691;Bonete;Albacete;967334156;bibliobonete@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de El Bonillo;124;0200369-2630;BIBLIOTECA PÜBLICA MUNICIPAL DE EL BONILLO;Don Quijote, s/n;2610;Bonillo (El);Albacete;967371227;bibliobonillo@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Carcelén;125;0201086-2674;BIBLIOTECA PÚBLICA MUNICIPAL DE CARCELÉN;Plaza de Juan José Gómez Molina, s/n;2153;Carcelén;Albacete;967403022;raquelsotos2003@yahoo.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Casas de Juan Núñez;126;0200375-2631;BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE JUAN NÚÑEZ;Miguel Hernández, 2;2151;Casas de Juan Núñez;Albacete;620578427;casas-juan-nunez@local.jccm.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Casas de Ves;127;0200381-2632;BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS DE VES;La Marquesa, 15;2212;Casas de Ves;Albacete;967475062;bpmcasasdeves@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Casas Ibáñez;129;0200394-2633;BIBLIOTECA PÚBLICA MUNICIPAL DE CASAS IBÁÑEZ;Plaza de la Constitución, 9;2200;Casas-Ibáñez;Albacete;967460903;biblioteca@casasibanez.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Caudete;130;0200408-2634;BIBLIOTECA PÚBLICA MUNICIPAL DE CAUDETE;Eras, 33;2660;Caudete;Albacete;965828131;biblioteca@caudete.org;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Cenizate;709;0201103-2676;BIBLIOTECA PÚBLICA MUNICIPAL DE CENIZATE;Botica, 4;2247;Cenizate;Albacete;967489596;biblioteca.cenizate@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Chinchilla de Monte-Aragón;131;0200415-2635;BIBLIOTECA PÚBLICA MUNICIPAL DE CHINCHILLA DE MONTE-ARAGÓN;Arco de la Plaza, 5;2520;Chinchilla de Monte-Aragón;Albacete;967260658;chinbiblio@hotmail.com;Biblioteca Pública Municipal
2019;Sala de Lectura Pública de Corral-Rubio;710;0201110-2677;BIBLIOTECA PÚBLICA MUNICIPAL DE CORRAL-RUBIO;Gabinete, 24;2693;Corral-Rubio;Albacete;967285100;bibliocorralvilla@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Elche de La Sierra;132;0200420-2636;BIBLIOTECA PÚBLICA MUNICIPAL DE ELCHE DE LA SIERRA;Calderón de la Barca, s/n;2430;Elche de la Sierra;Albacete;967417054;biblioelchesierra@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Férez;133;0201125-2678;BIBLIOTECA PÚBLICA MUNICIPAL DE FÉREZ;Cantarería, 28;2436;Férez;Albacete;967420207;biblioteca-ferez@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Fuente-Álamo;134;0200436-2637;BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTE-ÁLAMO ;Colegios, 2;2651;Fuente-Álamo;Albacete;967321784;lmillapalencia@yahoo.es;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Fuentealbilla;818;0200441-1216;BIBLIOTECA PÚBLICA MUNICIPAL DE BORMATE;Monjas, 36;2249;Fuentealbilla;Albacete;967471791;mreque55@hotmail.com;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Fuentealbilla;135;0200441-6468;BIBLIOTECA PÚBLICA MUNICIPAL DE FUENTEALBILLA;Fuente Grande, 4;2260;Fuentealbilla;Albacete;967472510;fuentealbilla.capi@jccm.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de La Gineta;136;0200454-2638;BIBLIOTECA PÚBLICA MUNICIPAL DE LA GINETA;Lope de Vega, 11;2110;Gineta (La);Albacete;967275704;biblioteca.gineta@dipualba.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Hellín;137;0200467-6469;BIBLIOTECA PÚBLICA MUNICIPAL DE HELLÍN;Plaza de las Monjas, 3;2400;Hellín;Albacete;967541502;biblioteca@hellin.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Hellín;910;0200467-8389;BIBLIOTECA PÚBLICA MUNICIPAL BARRIO DE LA ESTACIÓN;Andrómeda, s/n;2400;Hellín;Albacete;967306248;bibliored.estacion@hellin.es;Biblioteca Pública Municipal de Barrio
2019;Red de Bibliotecas Públicas Municipales de Hellín;743;0200467-1221;BIBLIOTECA PÚBLICA MUNICIPAL DE CAÑADA DE AGRA;Plaza de la Constitución, s/n;2409;Hellín;Albacete;661438610;bibliored.salas@hellin.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Hellín;742;0200467-1219;BIBLIOTECA PÚBLICA MUNICIPAL DE MINGOGIL;Real, 13;2409;Hellín;Albacete;661438610;bibliored.salas@hellin.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Hellín;741;0200467-1217;BIBLIOTECA PÚBLICA MUNICIPAL DE NAVA DE CAMPAÑA;Maestros, 7;2409;Hellín;Albacete;661438610;bibliored.salas@hellin.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Hellín;738;0200467-1220;BIBLIOTECA PÚBLICA MUNICIPAL DE ISSO;Carretera de Jaén, 22;2420;Hellín;Albacete;967308401;bibliored.isso@hellin.es;Biblioteca Pública Municipal
2019;Red de Bibliotecas Públicas Municipales de Hellín;737;0200467-1218;BIBLIOTECA PÚBLICA MUNICIPAL DE AGRAMÓN;Manuel Díaz Cano, nº 18;2490;Hellín;Albacete;967322100;bibliored.agramon@hellin.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Higueruela;139;0200489-2640;BIBLIOTECA PÚBLICA MUNICIPAL DE HIGUERUELA;Juan Carlos I, 1;2694;Higueruela;Albacete;967287196;bibliohigueruela@hotmail.com;Biblioteca Pública Municipal
2019;Sala de Lectura Pública de Hoya-Gonzalo;711;0201197-2679;BIBLIOTECA PÚBLICA MUNICIPAL DE HOYA-GONZALO;Calle Nueva, s/n;2696;Hoya-Gonzalo;Albacete;967287666;bibliotecahoya@yahoo.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Letur;141;0200953-2669;BIBLIOTECA PÚBLICA MUNICIPAL DE LETUR;Portalico, 7;2434;Letur;Albacete;967426304;julian.letur@dipualba.es;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Lezuza;142;0200966-6472;BIBLIOTECA PÚBLICA MUNICIPAL DE LEZUZA;Travesía Posito, 3;2160;Lezuza;Albacete;967354298;v_munera@hotmail.com;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Lezuza;834;0200966-1232;BIBLIOTECA PÚBLICA MUNICIPAL DE TIRIEZ;Belen, s/n (Tiriez) ;2161;Lezuza;Albacete;967350430;bibliotecatiriez@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Liétor;712;0200492-2641;BIBLIOTECA PÚBLICA MUNICIPAL DE LIÉTOR;Molinos, 1;2410;Liétor;Albacete;967200312;bpm.lietor@jccm.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Madrigueras;144;0200505-2642;BIBLIOTECA PÚBLICA MUNICIPAL DE MADRIGUERAS;Pablo Picasso, s/n;2230;Madrigueras;Albacete;967484812;biblioteca.madrigueras@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Mahora;145;0200512-2643;BIBLIOTECA PÚBLICA MUNICIPAL DE MAHORA;Tercia, 1;2240;Mahora;Albacete;967494320;bibliotecamahora@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Minaya;146;0200527-2644;BIBLIOTECA PÚBLICA MUNICIPAL DE MINAYA;Los Árboles, 4;2620;Minaya;Albacete;967450006;carmenj_a@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Municipal de Molinicos;147;0200533-2645;BIBLIOTECA MUNICIPAL DE MOLINICOS;Mayor, 35 bajo;2440;Molinicos;Albacete;967437001;bibliotecamolinicos@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Montealegre del Castillo;148;0200548-2646;BIBLIOTECA PÚBLICA MUNICIPAL DE MONTEALEGRE DEL CASTILLO;Capataz Santiago, 10;2650;Montealegre del Castillo;Albacete;648973091;bpm@montealegredelcastillo.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Munera;149;0200551-2647;BIBLIOTECA PÚBLICA MUNICIPAL DE MUNERA ;Tilanes, 23;2612;Munera;Albacete;967375137;bpm.munera@jccm.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Nerpio;150;0200570-2648;BIBLIOTECA PÚBLICA MUNICIPAL DE NERPIO;Plaza Mayor, 8;2530;Nerpio;Albacete;967438196;cculturanerpio@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Ontur;151;0200586-2649;BIBLIOTECA PÚBLICA MUNICIPAL DE ONTUR;Plaza del Alcalde Joaquín Ortí Martínez, 7;2652;Ontur;Albacete;967324206;biblioteca.ontur@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Ossa de Montiel;152;0200599-2650;BIBLIOTECA PÚBLICA MUNICIPAL DE OSSA DE MONTIEL ;Príncipe de Asturias, 40;2611;Ossa de Montiel;Albacete;967378101;biblioteca.ossa@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Publica Municipal Paterna del Madera;153;0200603-2651;BIBLIOTECA PÚBLICA MUNICIPAL DE PATERNA DEL MADERA ;Libertad, 64;2136;Paterna del Madera;Albacete;664219817;bibliopaternademadera@hotmail.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Peñas de San Pedro;926;NN8465-10443;BIBLIOTECA PÚBLICA MUNICIPAL DE PEÑAS DE SAN PEDRO;Cristo del Sahúco, s/n;2120;Peñas de San Pedro;Albacete;967292640;msarriotierraseca@yahoo.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Peñascosa;715;0201223-2682;BIBLIOTECA PÚBLICA MUNICIPAL DE PEÑASCOSA ;Plaza Mayor 1;2313;Peñascosa;Albacete;967382466;bibliopenascosa@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Pétrola;154;0200625-2652;BIBLIOTECA PÚBLICA MUNICIPAL DE PETROLA;Constitución, s/n;2692;Pétrola;Albacete;967286306;petrola.capi@jccm.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Povedilla;155;0200631-2653;BIBLIOTECA PÚBLICA MUNICIPAL DE POVEDILLA;Doctor Fleming, 4;2311;Povedilla;Albacete;999999999;bibliotecapovedilla@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Pozo Cañada;59;0201239-2683;BIBLIOTECA PÚBLICA MUNICIPAL DE POZO CAÑADA;Alcalde Joaquín Azorín, 8;2510;Pozo Cañada;Albacete;684450530;biblioteca@pozocanada.es;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Pozohondo;157;0200988-6474;BIBLIOTECA PÚBLICA MUNICIPAL DE POZOHONDO;Hellin, 13;2141;Pozohondo;Albacete;967293408;bpmpozohondo@yahoo.es;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Pozohondo;806;0200988-1223;BIBLIOTECA PÚBLICA MUNICIPAL DE NAVA DE ABAJO;Noria, 10;2142;Pozohondo;Albacete;967293450;bibliotecadenavadeabajo@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Pozo-Lorente;156;0200991-2670;BIBLIOTECA PÚBLICA MUNICIPAL DE POZO-LORENTE;Libertad, 17;2154;Pozo-Lorente;Albacete;967406448;bibliotecapl@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Pozuelo;807;0201257-2684;BIBLIOTECA PÚBLICA MUNICIPAL DE POZUELO;Torca, 9;2327;Pozuelo;Albacete;967363899;pozueloab.capi@jccm.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Riópar;158;0200646-2654;BIBLIOTECA PÚBLICA MUNICIPAL DE RIÓPAR;Plaza de Luis Escudero,2,  1º;2450;Riópar;Albacete;967435001;bibliotecariop@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de La Roda;160;0200659-2655;BIBLIOTECA PÚBLICA MUNICIPAL DE LA RODA;General de la Torre, 12;2630;Roda (La);Albacete;967445242;antoniaescobar@laroda.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Salobre;747;0201295-2685;BIBLIOTECA PÚBLICA MUNICIPAL DE SALOBRE;Nueva, 1;2316;Salobre;Albacete;967382036;bibliosalobre@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de San Pedro;740;0201309-2686;BIBLIOTECA PÚBLICA MUNICIPAL DE SAN PEDRO;Castilla-La Mancha, 1;2326;San Pedro;Albacete;699524125;bibliosanpedrored@gmail.com;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Socovos;161;0200678-6470;BIBLIOTECA PÚBLICA MUNICIPAL DE SOCOVOS;Coronel Navarro, 39;2435;Socovos;Albacete;967420381;bpm.socovos@jccm.es;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Socovos;837;0200678-1260;BIBLIOTECA PÚBLICA MUNICIPAL DE TAZONA-LOS OLMOS;Las Escuelas, s/n;2437;Socovos;Albacete;967413706;bibliotazona@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Tarazona;162;0200684-2656;BIBLIOTECA PÚBLICA MUNICIPAL DE TARAZONA DE LA MANCHA;Rambla Alta, 33;2100;Tarazona de la Mancha;Albacete;967497511;biblioteca.tarazona@dipualba.es;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Tobarra;163;0200697-6471;BIBLIOTECA PÚBLICA MUNICIPAL DE TOBARRA;Juan Carlos I, 16;2500;Tobarra;Albacete;967328162;bibliotecatobarra@gmail.com;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Tobarra;744;0200697-1226;SALA DE LECTURA PÚBLICA;Camino de los Roques, 1;2513;Tobarra;Albacete;967328162;salalectura.cordovilla@gmail.com;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Tobarra;745;0200697-1227;BIBLIOTECA PÚBLICA MUNICIPAL DE SANTIAGO DE MORA;Plaza de la Iglesia;2513;Tobarra;Albacete;967328162;salalectura.santiagodemora@gmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Valdeganga;164;0200701-2657;BIBLIOTECA PÚBLICA MUNICIPAL DE VALDEGANGA ;Nueva, s/n;2150;Valdeganga;Albacete;967400158;crisboira@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Vianos;909;NN8464-10197;BIBLIOTECA PÚBLICA MUNICIPAL DE VIANOS;Calvario, s/n;2315;Vianos;Albacete;637449984;bibliotecavianos@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Villalgordo del Júcar;820;0201355-2687;BIBLIOTECA PÚBLICA MUNICIPAL DE VILLALGORDO DEL JÚCAR;Huertas, s/n;2636;Villalgordo del Júcar;Albacete;967455001;bibliovillalgordo@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Villamalea;165;0200718-2658;BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAMALEA;Carcel, 2;2270;Villamalea;Albacete;967486283;bibliovillamalea@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Villapalacios;166;0200723-2659;BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAPALACIOS;Cervantes, 11;2350;Villapalacios;Albacete;967388700;bibliovillapalacios@hotmail.com;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Villarrobledo;940;0200739-11196;BIBLIOTECA DEL SILO DEL CONOCIMIENTO;Reyes Católicos, 101;2600;Villarrobledo;Albacete;661468397;bibliotecasilo@villarrobledo.com;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Villarrobledo;167;0200739-2660;BIBLIOTECA PÚBLICA MUNICIPAL DE VILLARROBLEDO;Carrasca, 29;2600;Villarrobledo;Albacete;967555630;biblioteca@villarrobledo.com;Biblioteca Pública Municipal
2019;Sala de Lectura Pública de Villavaliente;717;0201368-2688;BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAVALIENTE;La Sierra, 1;2154;Villavaliente;Albacete;967401604;bibliocorralvilla@hotmail.com;Biblioteca Pública Municipal
2019;Sala de Lectura Pública de Villaverde;168;0200744-2661;BIBLIOTECA PÚBLICA MUNICIPAL DE VILLAVERDE DE GUADALIMAR;Paseo de las Delicias;2460;Villaverde de Guadalimar;Albacete;967434001;villaverde@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Yeste;169;0200760-2663;BIBLIOTECA PÚBLICA MUNICIPAL DE YESTE;Rayo, 3;2480;Yeste;Albacete;967540013;biblioteca.yeste@dipualba.es;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Abenójar;170;1300010-3748;BIBLIOTECA PÚBLICA MUNICIPAL DE ABENÓJAR;Calle Nueva, 20;13180;Abenójar;Ciudad Real;926835001;biblioteca_abenojar@hotmail.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Agudo;171;1300025-3749;BIBLIOTECA PÚBLICA MUNICIPAL DE AGUDO;Pablo Picasso, 1-1º;13410;Agudo;Ciudad Real;926730713;biblioteca@agudo.es;Biblioteca Pública Municipal
2019;Bibliotecas dependientes del Ayuntamiento de Alcázar de San Juan;180;1300059-6518;BIBLIOTECA PÚBLICA MUNICIPAL DE ALCÁZAR DE SAN JUAN;Goya, 1;13600;Alcázar de San Juan;Ciudad Real;926551008;cdominguez.bibliotecas@patronatoculturaalcazar.org;Biblioteca Pública Municipal
2019;Sala de Lectura Pública de Alcolea de Calatrava;182;1300084-3752;BIBLIOTECA PÚBLICA MUNICIPAL DE ALCOLEA DE CALATRAVA;Ronda Santa Escolástica, s/n;13107;Alcolea de Calatrava;Ciudad Real;926778017;universidadpopular@alcoleacva.com;Biblioteca Pública Municipal
2019;Biblioteca Pública Municipal de Alcubillas;183;1301371-3827;BIBLIOTECA PÚBLICA MUNICIPAL DE ALCUBILLAS;Ronda de las Escuelas, s/n;13391;Alcubillas;Ciudad Real;926356233;bpm.alcubillas@jccm.es;Biblioteca Pública Municipal
