PR_ID,DISTRITO,DIRECCION,DIRECCIÓN_COMPLETA,EMPLAZAMIENTO,Nº CARGADORES,OPERADOR,COORX,COORY,LONGITUD,LATITUD,COORDENADA_COMPLETA
15,Chamberí,"Calle Manuel Silvela 16, Chamberí","Calle Manuel Silvela 16, Chamberí, Madrid",Vía pública,1,GIC,440694,4475775,-3.6991853,40.4305003,"40.4305003, -3.6991853"
16,Chamberí,"Plaza del Conde de Valle de Suchil, Chamberí","Plaza del Conde de Valle de Suchil, Chamberí, Madrid",Vía pública,1,REPSOL,"440038,83","4475778,21",-3.7069092,40.4304822,"40.4304822, -3.7069092"
17,Chamberí,"Calle Alberto Aguilera 9, Chamberí","Calle Alberto Aguilera 9, Chamberí, Madrid",Estación de servicio,1,REPSOL,"439914,74","4475692,23",-3.7083639,40.4296987,"40.4296987, -3.7083639"
18,Ciudad Lineal,"Calle Bueso Pineda 29, Ciudad Lineal","Calle Bueso Pineda 29, Ciudad Lineal, Madrid",Vía pública,1,GIC,"444431,81","4478363,82",-3.6553478,40.4540798,"40.4540798, -3.6553478"
19,Hortaleza,"Avenida María de Portugal 15, Hortaleza","Avenida María de Portugal 15, Hortaleza, Madrid",Estación de servicio,1,IBERDROLA,"443849,63","4483208,55",-3.6626423,40.4976842,"40.4976842, -3.6626423"
20,Hortaleza,"Avenida de Machupichu 105, Hortaleza","Avenida de Machupichu 105, Hortaleza, Madrid",Estación de servicio,1,GIC,"446082,58","4479561,39",-3.6359822,40.4649769,"40.4649769, -3.6359822"
21,Puente de Vallecas,"Avenida de la Albufera 319, Puente de Vallecas","Avenida de la Albufera 319, Puente de Vallecas, Madrid",Aparcamiento,2,ECOLINERAS,"446350,62","4470558,49",-3.6320611,40.3838908,"40.3838908, -3.6320611"
22,Puente de Vallecas,"Avenida Real de Arganda 74, Puente de Vallecas","Avenida Real de Arganda 74, Puente de Vallecas, Madrid",Estación de servicio,1,REPSOL,"448693,92","4469672,14",-3.6043841,40.3760535,"40.3760535, -3.6043841"
23,Retiro,"Calle Alfonso XII 2, Retiro","Calle Alfonso XII 2, Retiro, Madrid",Vía pública,1,REPSOL,"441553,76","4474522,81",-3.6889348,40.4192808,"40.4192808, -3.6889348"
24,Retiro,"Calle Cerro de la Plata 4, Retiro","Calle Cerro de la Plata 4, Retiro, Madrid",Vía pública,1,GIC,"442701,58","4472363,01",-3.6752113,40.399904,"40.399904, -3.6752113"
25,Retiro,"Plaza del Conde de Casal 6, Retiro","Plaza del Conde de Casal 6, Retiro, Madrid",Aparcamiento,2,DRIVE THE CITY,"443198,96","4473071,62",-3.6694137,40.4063216,"40.4063216, -3.6694137"
26,Retiro,"Calle Ibiza 1, Retiro","Calle Ibiza 1, Retiro, Madrid",Vía pública,1,REPSOL,"442444,53","4474433,54",-3.6784275,40.4185387,"40.4185387, -3.6784275"
27,Retiro,"Plaza de la Lealtad, s/n, Retiro","Plaza de la Lealtad, s/n, Retiro, Madrid",Vía pública,1,GIC,"441289,71","4474176,66",-3.6920151,40.4161439,"40.4161439, -3.6920151"
28,Salamanca,"Paseo Castellana 52, Salamanca","Paseo Castellana 52, Salamanca, Madrid",Vía pública,1,REPSOL,441650,4476325,-3.6879659,40.4355225,"40.4355225, -3.6879659"
29,Salamanca,"Calle Castelló 105, Salamanca","Calle Castelló 105, Salamanca, Madrid",Vía pública,1,GIC,"442261,15","4476262,44",-3.680755,40.4350016,"40.4350016, -3.680755"
30,Salamanca,"Calle Goya 36, Salamanca","Calle Goya 36, Salamanca, Madrid",Vía pública,1,GIC,"442227,27","4475141,53",-3.6810526,40.4249016,"40.4249016, -3.6810526"
31,Salamanca,"Calle Goya 123, Salamanca","Calle Goya 123, Salamanca, Madrid",Vía pública,1,REPSOL,"443066,59","4475108,89",-3.671156,40.4246654,"40.4246654, -3.671156"
32,Salamanca,"Calle Velázquez 74, Salamanca","Calle Velázquez 74, Salamanca, Madrid",Vía pública,1,REPSOL,"442015,28","4475633,05",-3.6835963,40.4293147,"40.4293147, -3.6835963"
33,Salamanca,"Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española, Salamanca","Jardines del Descubrimiento - Acceso a Complejo de Aparcamientos subterráneos por Calle de la Armada Española, Salamanca, Madrid",Aparcamiento,4,EMT,"441474,08","4475110,19",-3.689928,40.4245666,"40.4245666, -3.689928"
34,Salamanca,"Plaza de Marqués de Salamanca, Salamanca","Plaza de Marqués de Salamanca, Salamanca, Madrid",Aparcamiento,1,EMT,"442391,2","4475742,85",-3.6791747,40.4303299,"40.4303299, -3.6791747"
35,Villa de Vallecas,"Avenida de Madrid Mercamadrid s/n, Villa de Vallecas","Avenida de Madrid Mercamadrid s/n, Villa de Vallecas, Madrid",Otros,2,DRIVE THE CITY,"444302,11","4468182,62",-3.6559863,40.362353,"40.362353, -3.6559863"
36,Villa de Vallecas,"Carretera M602 km. 13, Villa de Vallecas","Carretera M602 km. 13, Villa de Vallecas, Madrid",Estación de servicio,1,REPSOL,"445890,74","4469312,58",-3.637373,40.3726371,"40.3726371, -3.637373"
37,Villa de Vallecas,"Carretera Villaverde a Vallecas km. 3,5, Villa de Vallecas","Carretera Villaverde a Vallecas km. 3,5, Villa de Vallecas, Madrid",Estacion de servicio,1,NATURGY,"444372,2","4468659,86",-3.6552024,40.366657,"40.366657, -3.6552024"
38,Latina,"Calle de José de Cadalso 51, Latina","Calle de José de Cadalso 51, Latina, Madrid",Aparcamiento,1,DRIVE THE CITY,"434762,24","4469976,18",-3.7685175,40.3778184,"40.3778184, -3.7685175"
