District,wikidata DistrictOfMadrid,Neighbourhood,wikidata NeighbourhoodOfMadrid,Place,PlaceURI,ACCIONA,Taxify,KOKO,UFO,RIDECONGA,FLASH,LIME,WIND,BIRD,REBY RIDES,MOVO,MYGO,JUMP UBER,SJV CONSULTING
Arganzuela,https://www.wikidata.org/wiki/Q2000929,Palos de Moguer,https://www.wikidata.org/wiki/Q521009,ARGANZUELA PALOS DE MOGUER,ARGANZUELAPALOSDEMOGUER,2,2,2,2,2,2,2,2,0,2,2,0,2,2
Arganzuela,https://www.wikidata.org/wiki/Q2000929,Atocha,https://www.wikidata.org/wiki/Q3814594,ARGANZUELA ATOCHA,ARGANZUELAATOCHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retiro,https://www.wikidata.org/wiki/Q2002296,Pacífico,https://www.wikidata.org/wiki/Q3773753,RETIRO PACÍFICO,RETIROPACÍFICO,2,2,2,2,2,2,2,2,0,2,2,0,2,2
Retiro,https://www.wikidata.org/wiki/Q2002296,Adelfas,https://www.wikidata.org/wiki/Q3774001,RETIRO ADELFAS,RETIROADELFAS,0,2,2,2,2,2,2,2,2,2,2,2,2,2
Retiro,https://www.wikidata.org/wiki/Q2002296,Estrella,https://www.wikidata.org/wiki/Q3773738,RETIRO LA ESTRELLA,RETIROLAESTRELLA,0,3,3,3,3,3,3,3,0,0,1,0,3,3
Retiro,https://www.wikidata.org/wiki/Q2002296,Ibiza,https://www.wikidata.org/wiki/Q15249910,RETIRO IBIZA,RETIROIBIZA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Retiro,https://www.wikidata.org/wiki/Q2002296,Jerónimos,https://www.wikidata.org/wiki/Q10306766,RETIRO LOS JERÓNIMOS,RETIROLOSJERÓNIMOS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Retiro,https://www.wikidata.org/wiki/Q2002296,Niño Jesús,https://www.wikidata.org/wiki/Q3773746,RETIRO NIÑO JESÚS,RETIRONIÑOJESÚS,2,2,2,2,2,2,2,2,0,0,0,0,2,2
Salamanca,https://www.wikidata.org/wiki/Q1773521,Recoletos,https://www.wikidata.org/wiki/Q3814551,SALAMANCA RECOLETOS,SALAMANCARECOLETOS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Salamanca,https://www.wikidata.org/wiki/Q1773521,Goya,https://www.wikidata.org/wiki/Q3814578,SALAMANCA GOYA,SALAMANCAGOYA,2,2,2,2,2,2,2,2,0,0,1,0,2,2
Salamanca,https://www.wikidata.org/wiki/Q1773521,Fuente del Berro,https://www.wikidata.org/wiki/Q3814564,SALAMANCA FUENTE DEL BERRO,SALAMANCAFUENTEDELBERRO,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Salamanca,https://www.wikidata.org/wiki/Q1773521,La Guindalera,https://www.wikidata.org/wiki/Q3814559,SALAMANCA GUINDALERA,SALAMANCAGUINDALERA,6,6,6,6,6,6,6,6,0,6,6,0,6,6
Salamanca,https://www.wikidata.org/wiki/Q1773521,Lista,https://www.wikidata.org/wiki/Q4779,SALAMANCA LISTA,SALAMANCALISTA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Salamanca,https://www.wikidata.org/wiki/Q1773521,Castellana,https://www.wikidata.org/wiki/Q4781,SALAMANCA CASTELLANA,SALAMANCACASTELLANA,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chamartín,https://www.wikidata.org/wiki/Q1766348,El Viso,https://www.wikidata.org/wiki/Q4778,CHAMARTÍN EL VISO,CHAMARTÍNELVISO,5,5,5,5,5,5,5,5,0,5,5,0,5,5
Chamartín,https://www.wikidata.org/wiki/Q1766348,Prosperidad,https://www.wikidata.org/wiki/Q4776,CHAMARTÍN PROSPERIDAD,CHAMARTÍNPROSPERIDAD,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chamartín,https://www.wikidata.org/wiki/Q1766348,Ciudad Jardín,https://www.wikidata.org/wiki/Q3773744,CHAMARTÍN CIUDAD JARDÍN,CHAMARTÍNCIUDADJARDÍN,3,3,3,3,3,3,3,3,0,3,3,1,3,3
Chamartín,https://www.wikidata.org/wiki/Q1766348,Hispanoamérica,https://www.wikidata.org/wiki/Q3814573,CHAMARTÍN HISPANOAMÉRICA,CHAMARTÍNHISPANOAMÉRICA,4,4,4,4,4,4,4,4,0,0,2,0,4,4
Chamartín,https://www.wikidata.org/wiki/Q1766348,Nueva España,https://www.wikidata.org/wiki/Q10338128,CHAMARTÍN NUEVA ESPAÑA,CHAMARTÍNNUEVAESPAÑA,5,5,5,5,5,5,5,5,0,5,0,0,5,5
Chamartín,https://www.wikidata.org/wiki/Q1766348,Castilla,https://www.wikidata.org/wiki/Q3813735,CHAMARTÍN CASTILLA,CHAMARTÍNCASTILLA,2,2,2,2,2,2,2,2,1,2,2,2,2,2
Tetuán,https://www.wikidata.org/wiki/Q1773540,Bellas Vistas,https://www.wikidata.org/wiki/Q11908929,TETUÁN BELLAS VISTAS,TETUÁNBELLASVISTAS,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Tetuán,https://www.wikidata.org/wiki/Q1773540,Cuatro Caminos,https://www.wikidata.org/wiki/Q5824684,TETUÁN CUATRO CAMINOS,TETUÁNCUATROCAMINOS,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tetuán,https://www.wikidata.org/wiki/Q1773540,Castillejos,https://www.wikidata.org/wiki/Q11913212,TETUÁN CASTILLEJOS,TETUÁNCASTILLEJOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tetuán,https://www.wikidata.org/wiki/Q1773540,Almenara,https://www.wikidata.org/wiki/Q2265427,TETUÁN ALMENARA,TETUÁNALMENARA,0,5,5,5,5,5,5,5,0,5,5,5,5,5
Tetuán,https://www.wikidata.org/wiki/Q1773540,Valdeacederas,https://www.wikidata.org/wiki/Q10388711,TETUÁN VALDEACEDERAS,TETUÁNVALDEACEDERAS,0,6,6,6,6,6,6,6,0,6,6,1,6,6
Tetuán,https://www.wikidata.org/wiki/Q1773540,Berruguete,https://www.wikidata.org/wiki/Q11909208,TETUÁN BERRUGUETE,TETUÁNBERRUGUETE,0,3,3,3,3,3,3,3,3,3,3,3,3,3
Chamberí,https://www.wikidata.org/wiki/Q1763370,Gaztambide,https://www.wikidata.org/wiki/Q10288587,CHAMBERÍ GAZTAMBIDE,CHAMBERÍGAZTAMBIDE,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chamberí,https://www.wikidata.org/wiki/Q1763370,Arapiles,https://www.wikidata.org/wiki/Q10856744,CHAMBERÍ ARAPILES,CHAMBERÍARAPILES,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chamberí,https://www.wikidata.org/wiki/Q1763370,Trafalgar,https://www.wikidata.org/wiki/Q10384027,CHAMBERÍ TRAFALGAR,CHAMBERÍTRAFALGAR,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chamberí,https://www.wikidata.org/wiki/Q1763370,Almagro,https://www.wikidata.org/wiki/Q10954432,CHAMBERÍ ALMAGRO,CHAMBERÍALMAGRO,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chamberí,https://www.wikidata.org/wiki/Q1763370,Ríos Rosas,https://www.wikidata.org/wiki/Q10366270,CHAMBERÍ RÍOS ROSAS,CHAMBERÍRÍOSROSAS,2,2,2,2,2,2,2,2,0,0,1,0,2,2
Chamberí,https://www.wikidata.org/wiki/Q1763370,Vallehermoso,https://www.wikidata.org/wiki/Q6122685,CHAMBERÍ VALLEHERMOSO,CHAMBERÍVALLEHERMOSO,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,El Pardo,https://www.wikidata.org/wiki/Q3314337,FUENCARRAL-EL PARDO EL PARDO,FUENCARRAL-ELPARDOELPARDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Fuentelarreina,https://www.wikidata.org/wiki/Q10286156,FUENCARRAL-EL PARDO FUENTELARREINA,FUENCARRAL-ELPARDOFUENTELARREINA,0,0,4,3,4,4,0,0,4,0,0,0,0,0
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Peñagrande,https://www.wikidata.org/wiki/Q3319582,FUENCARRAL-EL PARDO PEÑAGRANDE,FUENCARRAL-ELPARDOPEÑAGRANDE,0,0,12,6,12,12,12,0,12,0,0,0,12,0
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,El Pilar,https://www.wikidata.org/wiki/Q3773964,FUENCARRAL-EL PARDO EL PILAR,FUENCARRAL-ELPARDOELPILAR,3,0,3,3,3,3,3,0,3,3,3,0,3,0
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,La Paz,https://www.wikidata.org/wiki/Q5869740,FUENCARRAL-EL PARDO LA PAZ,FUENCARRAL-ELPARDOLAPAZ,4,0,4,4,4,4,5,4,0,2,2,0,4,0
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Valverde,https://www.wikidata.org/wiki/Q31132,FUENCARRAL-EL PARDO VALVERDE,FUENCARRAL-ELPARDOVALVERDE,17,0,17,12,17,17,17,0,17,0,0,0,0,0
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,Mirasierr,https://www.wikidata.org/wiki/Q31134,FUENCARRAL-EL PARDO MIRASIERRA,FUENCARRAL-ELPARDOMIRASIERRA,0,0,14,6,14,14,14,0,10,0,0,0,0,0
Fuencarral-El Pardo,https://www.wikidata.org/wiki/Q656196,El Goloso,https://www.wikidata.org/wiki/Q10271137,FUENCARRAL-EL PARDO EL GOLOSO,FUENCARRAL-ELPARDOELGOLOSO,0,0,0,0,0,47,47,0,2,0,0,0,0,0
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Casa de Campo,https://www.wikidata.org/wiki/Q16302441,MONCLOA-ARAVACA CASA DE CAMPO,MONCLOA-ARAVACACASADECAMPO,0,12,0,6,12,12,0,0,0,0,6,0,12,12
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Argüelles,https://www.wikidata.org/wiki/Q64874,MONCLOA-ARAVACA ARGÜELLES,MONCLOA-ARAVACAARGÜELLES,2,2,2,2,2,2,2,2,2,2,2,0,2,2
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Ciudad Universitaria,https://www.wikidata.org/wiki/Q3319235,MONCLOA-ARAVACA CIUDAD UNIVERSITARIA,MONCLOA-ARAVACACIUDADUNIVERSITARIA,0,15,15,15,15,15,15,15,0,0,5,0,15,15
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Valdezarza,https://www.wikidata.org/wiki/Q10388728,MONCLOA-ARAVACA VALDEZARZA,MONCLOA-ARAVACAVALDEZARZA,0,6,6,6,6,6,6,0,0,0,4,0,6,6
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Valdemarín,https://www.wikidata.org/wiki/Q10388725,MONCLOA-ARAVACA VALDEMARÍN,MONCLOA-ARAVACAVALDEMARÍN,0,12,0,6,0,12,12,0,12,0,0,0,0,12
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,El Plantío,https://www.wikidata.org/wiki/Q3773742,MONCLOA-ARAVACA EL PLANTÍO,MONCLOA-ARAVACAELPLANTÍO,0,7,0,5,0,7,7,0,7,0,0,0,0,7
Moncloa-Aravaca,https://www.wikidata.org/wiki/Q2017682,Aravaca,https://www.wikidata.org/wiki/Q3314682,MONCLOA-ARAVACA ARAVACA,MONCLOA-ARAVACAARAVACA,0,22,0,6,22,22,22,0,21,0,0,0,0,22
Latina,https://www.wikidata.org/wiki/Q794954,Los Cármenes,https://www.wikidata.org/wiki/Q10319792,LATINA LOS CÁRMENES,LATINALOSCÁRMENES,0,0,0,4,0,0,8,0,6,0,0,0,6,0
Latina,https://www.wikidata.org/wiki/Q794954,Barrio de Puerta del Ángel,https://www.wikidata.org/wiki/Q31142,LATINA PUERTA DEL ÁNGEL,LATINAPUERTADELÁNGEL,0,0,0,5,0,0,10,0,5,0,0,0,10,0
Latina,https://www.wikidata.org/wiki/Q794954,Lucero,https://www.wikidata.org/wiki/Q31162,LATINA LUCERO,LATINALUCERO,0,0,0,4,0,0,9,0,5,0,0,0,9,0
Latina,https://www.wikidata.org/wiki/Q794954,Aluche,https://www.wikidata.org/wiki/Q31140,LATINA ALUCHE,LATINAALUCHE,0,0,0,5,0,0,0,0,11,0,0,0,14,0
Latina,https://www.wikidata.org/wiki/Q794954,Campamento,https://www.wikidata.org/wiki/Q31169,LATINA CAMPAMENTO,LATINACAMPAMENTO,0,0,0,3,0,0,0,0,11,0,0,0,0,0
Latina,https://www.wikidata.org/wiki/Q794954,Cuatro Vientos,https://www.wikidata.org/wiki/Q5191881,LATINA CUATRO VIENTOS,LATINACUATROVIENTOS,0,0,0,2,0,0,7,0,7,0,0,0,0,0
Latina,https://www.wikidata.org/wiki/Q794954,Las Águilas,https://www.wikidata.org/wiki/Q5971372,LATINA LAS ÁGUILAS,LATINALASÁGUILAS,0,0,0,5,0,0,10,0,25,0,0,0,0,0
Carabanchel,https://www.wikidata.org/wiki/Q1001991,Comillas,https://www.wikidata.org/wiki/Q955844,CARABANCHEL COMILLAS,CARABANCHELCOMILLAS,0,0,0,4,0,0,4,0,4,0,0,0,4,0
Carabanchel,https://www.wikidata.org/wiki/Q1001991,Opañel,https://www.wikidata.org/wiki/Q3813756,CARABANCHEL OPAÑEL,CARABANCHELOPAÑEL,0,0,0,6,0,0,8,0,5,0,0,0,8,0
Carabanchel,https://www.wikidata.org/wiki/Q1001991,San Isidro,https://www.wikidata.org/wiki/Q3813733,CARABANCHEL SAN ISIDRO,CARABANCHELSANISIDRO,0,0,0,6,0,0,12,0,6,0,0,0,12,0
Carabanchel,https://www.wikidata.org/wiki/Q1001991,Vista Alegre,https://www.wikidata.org/wiki/Q3813741,CARABANCHEL VISTA ALEGRE,CARABANCHELVISTAALEGRE,0,0,0,6,0,0,0,0,11,0,0,0,13,0
Carabanchel,https://www.wikidata.org/wiki/Q1001991,Puerta Bonita,https://www.wikidata.org/wiki/Q3813762,CARABANCHEL PUERTA BONITA,CARABANCHELPUERTABONITA,0,0,0,6,0,0,9,0,9,6,0,0,15,0
Carabanchel,https://www.wikidata.org/wiki/Q1001991,Buenavista,https://www.wikidata.org/wiki/Q953929,CARABANCHEL BUENAVISTA,CARABANCHELBUENAVISTA,0,0,0,8,0,0,0,0,42,0,0,0,0,0
Carabanchel,https://www.wikidata.org/wiki/Q1001991,Abrantes,https://www.wikidata.org/wiki/Q3773949,CARABANCHEL ABRANTES,CARABANCHELABRANTES,0,0,0,4,0,0,0,0,11,0,0,0,11,0
Usera,https://www.wikidata.org/wiki/Q953368,Orcasitas,https://www.wikidata.org/wiki/Q3773941,USERA ORCASITAS,USERAORCASITAS,0,0,0,5,0,0,5,0,5,3,0,0,8,0
Usera,https://www.wikidata.org/wiki/Q953368,Orcasur,https://www.wikidata.org/wiki/Q10341270,USERA ORCASUR,USERAORCASUR,0,0,0,5,0,0,0,0,5,0,0,0,10,0
Usera,https://www.wikidata.org/wiki/Q953368,San Fermín (Madrid),https://www.wikidata.org/wiki/Q71758,USERA SAN FERMÍN,USERASANFERMÍN,0,0,0,6,0,0,11,0,8,0,0,0,11,0
Usera,https://www.wikidata.org/wiki/Q953368,Almendrales,https://www.wikidata.org/wiki/Q9604761,USERA ALMENDRALES,USERAALMENDRALES,0,0,0,5,0,0,4,0,6,0,0,0,7,0
Usera,https://www.wikidata.org/wiki/Q953368,Moscardó,https://www.wikidata.org/wiki/Q11937679,USERA MOSCARDÓ,USERAMOSCARDÓ,0,0,0,6,0,0,7,0,3,0,0,0,7,0
Usera,https://www.wikidata.org/wiki/Q953368,El Zofío,https://www.wikidata.org/wiki/Q71751,USERA ZOFÍO,USERAZOFÍO,0,0,0,4,0,0,6,0,6,0,0,0,6,0
Usera,https://www.wikidata.org/wiki/Q953368,Pradolongo,https://www.wikidata.org/wiki/Q10352360,USERA PRADOLONGO,USERAPRADOLONGO,0,0,0,5,0,0,5,0,5,3,0,0,8,0
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,Entrevías,https://www.wikidata.org/wiki/Q71756,PUENTE DE VALLECAS ENTREVÍAS,PUENTEDEVALLECASENTREVÍAS,0,0,0,5,0,0,20,0,20,3,0,0,23,0
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,San Diego,https://www.wikidata.org/wiki/Q11946851,PUENTE DE VALLECAS SAN DIEGO,PUENTEDEVALLECASSANDIEGO,0,0,0,5,0,0,14,0,10,0,0,0,10,0
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,Palomeras Bajas,https://www.wikidata.org/wiki/Q10343902,PUENTE DE VALLECAS PALOMERAS BAJAS,PUENTEDEVALLECASPALOMERASBAJAS,0,0,0,5,0,0,20,0,20,1,0,0,21,0
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,Palomeras Sureste,https://www.wikidata.org/wiki/Q10343901,PUENTE DE VALLECAS PALOMERAS SURESTE,PUENTEDEVALLECASPALOMERASSURESTE,0,0,0,4,0,0,0,0,11,0,0,0,15,0
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,Portazgo,https://www.wikidata.org/wiki/Q18005921,PUENTE DE VALLECAS PORTAZGO,PUENTEDEVALLECASPORTAZGO,0,0,0,4,0,0,0,0,9,0,0,0,12,0
Puente de Vallecas,https://www.wikidata.org/wiki/Q2003054,Numancia,https://www.wikidata.org/wiki/Q10338144,PUENTE DE VALLECAS NUMANCIA,PUENTEDEVALLECASNUMANCIA,0,0,0,5,0,0,11,0,11,0,0,0,11,0
Moratalaz,https://www.wikidata.org/wiki/Q2076109,Pavones,https://www.wikidata.org/wiki/Q71760,MORATALAZ PAVONES,MORATALAZPAVONES,0,0,0,2,0,0,0,0,3,0,0,0,4,0
Moratalaz,https://www.wikidata.org/wiki/Q2076109,Horcajo,https://www.wikidata.org/wiki/Q10293641,MORATALAZ HORCAJO,MORATALAZHORCAJO,0,0,0,2,0,0,2,0,1,0,0,0,2,0
Moratalaz,https://www.wikidata.org/wiki/Q2076109,Marroquina,https://www.wikidata.org/wiki/Q11935636,MORATALAZ MARROQUINA,MORATALAZMARROQUINA,0,0,0,3,0,0,7,0,5,0,0,0,5,0
Moratalaz,https://www.wikidata.org/wiki/Q2076109,Media Legua,https://www.wikidata.org/wiki/Q9031035,MORATALAZ MEDIA LEGUA,MORATALAZMEDIALEGUA,0,0,0,2,0,0,4,0,2,1,0,0,2,0
Moratalaz,https://www.wikidata.org/wiki/Q2076109,Fontarrón,https://www.wikidata.org/wiki/Q10283284,MORATALAZ FONTARRÓN,MORATALAZFONTARRÓN,0,0,0,2,0,0,0,0,2,0,0,0,3,0
Moratalaz,https://www.wikidata.org/wiki/Q2076109,Vinateros,https://www.wikidata.org/wiki/Q10391533,MORATALAZ VINATEROS,MORATALAZVINATEROS,0,0,0,2,0,0,2,0,1,0,0,0,2,0
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Ventas,https://www.wikidata.org/wiki/Q71762,CIUDAD LINEAL VENTAS,CIUDADLINEALVENTAS,0,0,0,8,0,8,8,0,1,0,0,8,8,8
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Pueblo Nuevo,https://www.wikidata.org/wiki/Q71753,CIUDAD LINEAL PUEBLO NUEVO,CIUDADLINEALPUEBLONUEVO,0,0,0,8,0,10,10,0,2,0,0,10,10,10
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Quintana,https://www.wikidata.org/wiki/Q71810,CIUDAD LINEAL QUINTANA,CIUDADLINEALQUINTANA,5,0,0,5,0,5,5,0,0,4,0,0,5,5
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Concepción,https://www.wikidata.org/wiki/Q11915156,CIUDAD LINEAL LA CONCEPCIÓN,CIUDADLINEALLACONCEPCIÓN,5,0,0,5,0,5,5,0,0,4,0,0,5,5
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,San Pascual,https://www.wikidata.org/wiki/Q165612,CIUDAD LINEAL SAN PASCUAL,CIUDADLINEALSANPASCUAL,3,0,3,3,0,3,3,0,1,0,0,3,3,3
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,San Juan Bautista,https://www.wikidata.org/wiki/Q165609,CIUDAD LINEAL SAN JUAN BAUTISTA,CIUDADLINEALSANJUANBAUTISTA,2,0,2,2,0,2,2,0,0,2,2,2,2,2
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Colina,https://www.wikidata.org/wiki/Q18475981,CIUDAD LINEAL COLINA,CIUDADLINEALCOLINA,1,0,1,1,0,1,1,0,1,1,1,1,1,1
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Atalaya,https://www.wikidata.org/wiki/Q14193114,CIUDAD LINEAL ATALAYA,CIUDADLINEALATALAYA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciudad Lineal,https://www.wikidata.org/wiki/Q1763694,Costillares,https://www.wikidata.org/wiki/Q331385,CIUDAD LINEAL COSTILLARES,CIUDADLINEALCOSTILLARES,5,0,5,5,0,5,5,0,0,4,0,0,5,5
Hortaleza,https://www.wikidata.org/wiki/Q1928529,Palomas,https://www.wikidata.org/wiki/Q390460,HORTALEZA PALOMAS,HORTALEZAPALOMAS,0,4,0,4,0,4,5,0,4,4,0,0,4,0
Hortaleza,https://www.wikidata.org/wiki/Q1928529,La Piovera,https://www.wikidata.org/wiki/Q5964851,HORTALEZA PIOVERA,HORTALEZAPIOVERA,0,9,0,6,0,9,16,0,7,2,0,0,9,0
Hortaleza,https://www.wikidata.org/wiki/Q1928529,Canillas,https://www.wikidata.org/wiki/Q9694341,HORTALEZA CANILLAS,HORTALEZACANILLAS,0,11,11,6,0,11,19,0,8,4,0,0,11,0
Hortaleza,https://www.wikidata.org/wiki/Q1928529,Pinar del Rey,https://www.wikidata.org/wiki/Q10349788,HORTALEZA PINAR DEL REY,HORTALEZAPINARDELREY,11,11,11,6,0,11,11,0,11,0,0,0,11,0
Hortaleza,https://www.wikidata.org/wiki/Q1928529,Apóstol Santiago,https://www.wikidata.org/wiki/Q27183535,HORTALEZA APÓSTOL SANTIAGO,HORTALEZAAPÓSTOLSANTIAGO,4,4,4,4,0,4,4,0,3,0,0,0,4,0
Hortaleza,https://www.wikidata.org/wiki/Q1928529,Valdefuentes,https://www.wikidata.org/wiki/Q10388714,HORTALEZA VALDEFUENTES,HORTALEZAVALDEFUENTES,29,29,29,12,0,29,30,0,24,0,0,0,0,0
Villaverde,https://www.wikidata.org/wiki/Q919536,"Villaverde Alto, Casco Histórico de Villaverde",https://www.wikidata.org/wiki/Q390435,VILLAVERDE SAN ANDRÉS,VILLAVERDESANANDRÉS,0,0,0,8,0,0,0,0,72,0,0,0,0,0
Villaverde,https://www.wikidata.org/wiki/Q919536,San Cristóbal,https://www.wikidata.org/wiki/Q390457,VILLAVERDE SAN CRISTÓBAL,VILLAVERDESANCRISTÓBAL,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Villaverde,https://www.wikidata.org/wiki/Q919536,Butarque,https://www.wikidata.org/wiki/Q390453,VILLAVERDE BUTARQUE,VILLAVERDEBUTARQUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villaverde,https://www.wikidata.org/wiki/Q919536,Los Rosales,https://www.wikidata.org/wiki/Q10319807,VILLAVERDE LOS ROSALES,VILLAVERDELOSROSALES,0,0,0,6,0,0,20,0,14,0,0,0,0,0
Villaverde,https://www.wikidata.org/wiki/Q919536,Los Ángeles,https://www.wikidata.org/wiki/Q390462,VILLAVERDE LOS ÁNGELES,VILLAVERDELOSÁNGELES,0,0,0,6,0,0,22,0,18,0,0,0,0,0
Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Casco Histórico de Vallecas,https://www.wikidata.org/wiki/Q16544370,VILLA DE VALLECAS CASCO HISTÓRICO DE VALLECAS,VILLADEVALLECASCASCOHISTÓRICODEVALLECAS,0,0,0,20,0,0,0,0,85,0,0,0,0,0
Villa de Vallecas,https://www.wikidata.org/wiki/Q1947988,Santa Eugenia,https://www.wikidata.org/wiki/Q390463,VILLA DE VALLECAS SANTA EUGENIA,VILLADEVALLECASSANTAEUGENIA,0,0,0,4,0,0,12,0,8,0,0,0,0,0
Vicálvaro,https://www.wikidata.org/wiki/Q589403,Casco Histórico de Vicálvaro,https://www.wikidata.org/wiki/Q16544374,VICÁLVARO CASCO HISTÓRICO DE VICÁLVARO,VICÁLVAROCASCOHISTÓRICODEVICÁLVARO,0,0,0,20,0,0,68,0,48,0,0,0,0,0
Vicálvaro,https://www.wikidata.org/wiki/Q589403,Ambroz,https://www.wikidata.org/wiki/Q11905294,VICÁLVARO AMBROZ,VICÁLVAROAMBROZ,0,0,0,6,0,0,0,0,9,0,0,0,0,0
San Blas,https://www.wikidata.org/wiki/Q2001937,Simancas,https://www.wikidata.org/wiki/Q10371626,SAN BLAS-CANILLEJAS SIMANCAS,SANBLAS-CANILLEJASSIMANCAS,0,0,0,6,0,11,4,0,6,0,0,0,11,0
