Centro_codigo,Centro_nombre,Centro_tipo_codigo,Centro_tipo_descripcion,Centro_titularidad,Direccion,Direccion_codigo_postal,Municipio_codigo,Municipio_nombre,Distrito_codigo,Distrito_nombre,Contacto_telefono,Contacto_fax,Contacto_web,Contacto_email,Direccion_coor_x,Direccion_coor_y
28000315,EMPERADOR FERNANDO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de la Ronda Fiscal 44,28803,005,Alcalá de Henares,,,918823334,918807542,http://www.educa.madrid.org/cp.emperadorfernan.alcala,cp.emperadorfernan.alcala@educa.madrid.org,468369,4480180
28000327,SANTA MARIA DE LA PROVIDENCIA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE Huertas 4,28807,005,Alcalá de Henares,,,918819409,918813167,http://www.educa.madrid.org/cc.smdelaprovidencia.alcala,cc.smdelaprovidencia.alcala@educa.madrid.org,469022,4482033
28000339,JUNCAL,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Núñez de Guzmán 31,28802,005,Alcalá de Henares,,,918819011,918834886,http://www.educa.madrid.org/cp.juncal.alcala,cp.juncal.alcala@educa.madrid.org,467839,4480671
28000364,COMPLUTENSE,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE Valladolid 1,28804,005,Alcalá de Henares,,,918880169,918828091,http://www.educa.madrid.org/ies.complutense.alcala,ies.complutense.alcala@educa.madrid.org,470510,4481599
28000376,NTRA. SRA. DEL VAL,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Ávila s/n,28804,005,Alcalá de Henares,,,918893702,918894578,http://www.educa.madrid.org/cp.val.alcala,cp.val.alcala@educa.madrid.org,470873,4481791
28000388,DOCTORA DE ALCALA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de Pedro Sarmiento de Gamboa 11,28805,005,Alcalá de Henares,,,918883764,918833055,http://www.educa.madrid.org/cp.doctora.alcala,cp.doctora.alcala@educa.madrid.org,469522,4482291
28000406,SAN GABRIEL,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,"CTRA Daganzo k 2,5",28800,005,Alcalá de Henares,,,918890650,918871277,http://www.educa.madrid.org/cc.sangabriel.alcala,cc.sangabriel.alcala@educa.madrid.org,467137,4483263
28000421,SAN IGNACIO DE LOYOLA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE Concepción Arenal 3,28806,005,Alcalá de Henares,,,918871114,918832815,http://www.sanignacioalcala.es,cc.sanignaciodeloyola.alcala@educa.madrid.org,469041,4482916
28000431,MINERVA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE Batalla de Lepanto 1,28804,005,Alcalá de Henares,,,918881362,918881362,http://www.educa.madrid.org/cc.minerva.alcala,cc.minerva.alcala@educa.madrid.org,469753,4481732
28000467,ALONSO DE AVELLANEDA,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE Vitoria 3,28804,005,Alcalá de Henares,,,918881174,918883402,http://www.educa.madrid.org/ies.alonsodeavellan.alcala,ies.alonsodeavellan.alcala@educa.madrid.org,471046,4482286
28000479,CALASANZ,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE Santiago 29,28801,005,Alcalá de Henares,,,918892900,918771836,http://www.calasanzalcala.com,cc.calasanz.alcala@educa.madrid.org,468941,4481493
28000492,LOPE DE VEGA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE de Luis de Medina 12,28805,005,Alcalá de Henares,,,918893879,918892021,http://www.colegiolopedevega.com,cc.lopedevega.alcala@educa.madrid.org,469744,4482228
28000522,ANTONIO MACHADO,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE Alalpardo s/n,28806,005,Alcalá de Henares,,,918892450,918883916,http://www.educa.madrid.org/ies.machado.alcala,ies.machado.alcala@educa.madrid.org,468665,4482393
28000558,INFANTA CATALINA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE San Vidal 6,28803,005,Alcalá de Henares,,,918886145,918836953,http://www.educa.madrid.org/cp.infantacatalina.alcala,cp.infantacatalina.alcala@educa.madrid.org,468160,4480571
28000595,FEDERICO GARCIA LORCA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE del Marqués de la Valdavia 91,28100,006,Alcobendas,,,916624593,916624084,http://www.educa.madrid.org/cp.garcialorca.alcobendas,cp.garcialorca.alcobendas@educa.madrid.org,445032,4488554
28000601,ANTONIO MACHADO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de Miraflores 59,28100,006,Alcobendas,,,916526807,916639504,http://www.educa.madrid.org/cp.machado.alcobendas,cp.machado.alcobendas@educa.madrid.org,445886,4488631
28000625,SAN PEDRO APOSTOL,008,ESCUELA INFANTIL PRIVADA,PRIVADO CONCERTADO,PLAZA de Felipe Álvarez Gadea 1,28100,006,Alcobendas,,,916535721,916535721,,cc.sanpedroapostol.alcobendas@educa.madrid.org,446447,4488013
28000649,SAN ANTONIO,013,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA,PRIVADO CONCERTADO,CALLE de Barcelona 13,28100,006,Alcobendas,,,916527169,916527169,http://www.educa.madrid.org/cc.sanantonio.alcobendas,cc.sanantonio.alcobendas@educa.madrid.org,446743,4488144
28000662,JUAN XXIII,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,TRVA Juan M. Sánchez. Pedagogo 3,28100,006,Alcobendas,,,916516468,916516468,http://www.juanxxiiialcobendas.com,cc.juanxxiii.alcobendas@educa.madrid.org,446082,4488087
28000698,LICEO EUROPEO,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,CALLE del Camino Sur 10-12,28109,006,Alcobendas,,,916500000,916500000,http://www.liceo-europeo.es,patricia.real@liceo-europeo.edu.es,445505,4484772
28000753,FRANCISCO GINER DE LOS RIOS,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,AVDA de la Transición Española 11,28108,006,Alcobendas,,,916525466,916511164,http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas,ies.ginerdelosrios.alcobendas@educa.madrid.org,447429,4487172
28000765,DAOIZ Y VELARDE,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA de Valdelaparra 92,28108,006,Alcobendas,,,916616095,916613142,http://www.educa.madrid.org/cp.daoizyvelarde.alcobendas,cp.daoizyvelarde.alcobendas@educa.madrid.org,443977,4488551
28000777,BIENAVENTURADA VIRGEN MARIA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,CALLE de Begonia 275,28109,006,Alcobendas,,,916501500,,http://www.irlandesaselsoto.net/,secretaria@irlandesaselsoto.net,445727,4486106
28000820,COLEGIO SUIZO DE MADRID (SUIZO),094,CENTRO DOCENTE EXTRANJERO EN ESPAÑA,PRIVADO,CTRA BURGOS k. 14,28100,006,Alcobendas,,,916505818,,,,444586,4485638
28000856,CARMEN CONDE,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA del Oeste 2,28922,007,Alcorcón,,,916448242,916440016,http://www.educa.madrid.org/cp.carmenconde.alcorcon,cp.carmenconde.alcorcon@educa.madrid.org,429272,4466006
28000901,NTRA. SRA. DE RIHONDO,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,AVDA de Pablo Iglesias 2,28922,007,Alcorcón,,,916442053,,http://www.rihondo.es,cc.nsrihondo.alcorcon@educa.madrid.org,428975,4466342
28000947,SANTISIMA TRINIDAD,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE de Ribadavia 2,28925,007,Alcorcón,,,916191823,916103443,http://www.alcorcon.colegiostrinitarios.com,cc.santisimatrinidad.alcorcon@educa.madrid.org,430991,4467463
28000960,NTRA. SRA. DE LOS REMEDIOS,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE de los Guindales 17,28921,007,Alcorcón,,,916194981,916194981,http://www.educa.madrid.org/cc.nsdelosremedios.alcorcon,cc.nsdelosremedios.alcorcon@educa.madrid.org,429201,4466399
28001010,AMOR DE DIOS,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,PLAZA Santiago de Compostela 1,28924,007,Alcorcón,,,916192117,916118527,http://www.educa.madrid.org/cc.amordedios.alcorcon,cc.amordedios.alcorcon@educa.madrid.org,430735,4467059
28001022,LA INMACULADA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE Señorita Elena s/n,28924,007,Alcorcón,,,916192515,916113356,http://www.lainmaculada.net,cc.lainmaculada.alcorcon@educa.madrid.org,431067,4466962
28001034,VIRGEN DEL REMEDIO,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,AVDA de Lisboa 2,28924,007,Alcorcón,,,916195917,916112507,http://www.alcorcon.trinitarias.net,cc.virgendelremedio.alcorcon@educa.madrid.org,430148,4467116
28001046,CENTRO EDUCATIVO VILLA DE ALCORCON,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE de Madrid 12,28921,007,Alcorcón,,,916438329,916448058,http://www.villadealcorcon.com,cc.villadealcorcon.alcorcon@educa.madrid.org,429720,4466865
28001137,DANIEL MARTIN,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA del Alcalde José Aranda 45,28923,007,Alcorcón,,,916108191,916101196,http://www.educa.madrid.org/portal/web/danielmartin,cp.danielmartin.alcorcon@educa.madrid.org,430417,4466548
28001149,PARROCO D. VICTORIANO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de la Olímpica Conchita Puig 2,28923,007,Alcorcón,,,916117131,916118052,http://www.educa.madrid.org/cp.donvictoriano.alcorcon,cp.donvictoriano.alcorcon@educa.madrid.org,430394,4466314
28001231,SAN PABLO-CEU,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,AVDA de Montepríncipe ,28668,022,Boadilla del Monte,,,913520523,917154939,www.colegioceumonteprincipe.es,info.csp.monteprincipe@ceu.es,428858,4472491
28001241,NTRA. SRA. DE FATIMA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Navayuncosa 22,28620,008,Aldea del Fresno,,,918637177,918637603,http://www.educa.madrid.org/cp.fatima.aldeadelfresno,cp.fatima.aldeadelfresno@educa.madrid.org,398068,4464438
28001277,OBISPO MOSCOSO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE del Retamar 18,28110,009,Algete,,,916290464,916280730,http://www.educa.madrid.org/cp.obispomoscoso.algete,cp.obispomoscoso.algete@educa.madrid.org,457953,4494426
28001289,SANTA QUITERIA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de Santa Quiteria 45,28439,010,Alpedrete,,,918572391,918571221,http://www.educa.madrid.org/cp.santaquiteria.alpedrete,cp.santaquiteria.alpedrete@educa.madrid.org,413796,4500973
28001371,SAN JOSE DE CALASANZ,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA de la Plaza de Toros 32,28300,013,Aranjuez,,,918910771,918922229,http://www.educa.madrid.org/cp.sanjosedecalasanz.aranjuez,cp.sanjosedecalasanz.aranjuez@educa.madrid.org,449000,4430989
28001435,VIRGEN DEL PUERTO,004,CENTRO PRIVADO DE EDUCACIÓN INFANTIL,PRIVADO,CALLE de Carretas 16,28300,013,Aranjuez,,,918910717,918754540,,vdp@colegiovirgendelpuerto.com,448509,4430808
28001514,SAGRADA FAMILIA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE del Príncipe 15,28300,013,Aranjuez,,,918910419,918923648,http://www.aranjuez.fesd.es,cc.sagradafamilia.aranjuez@educa.madrid.org,448554,4431962
28001538,SAN PASCUAL,015,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO CONCERTADO,CALLE del Rey 77-79,28300,013,Aranjuez,,,918911917,918929132,http://www.colegiosanpascual.es,cc.sanpascual.aranjuez@educa.madrid.org,448770,4431182
28001551,VICENTE ALEIXANDRE,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE del Príncipe 38,28300,013,Aranjuez,,,918912625,918920571,http://www.educa.madrid.org/cp.vicentealeixandre.aranjuez,cp.vicentealeixandre.aranjuez@educa.madrid.org,448855,4431855
28001563,APOSTOL SANTIAGO,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE de las Moreras 217,28300,013,Aranjuez,,,918921200,918921009,http://www.educa.madrid.org/cc.apostolsantiago.aranjuez,cc.apostolsantiago.aranjuez@educa.madrid.org,449686,4431847
28001587,ARCO IRIS ABASTOS,008,ESCUELA INFANTIL PRIVADA,PRIVADO,CALLE de Abastos 157,28300,013,Aranjuez,,,918911553,,,e.i.arcoiris@hotmail.com,449282,4431397
28001605,LOYOLA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO CONCERTADO,CALLE de Valeras 24,28300,013,Aranjuez,,,918910505,918923768,http://www.salesianosloyola.es,cc.loyola.aranjuez@educa.madrid.org,447999,4431042
28001617,SAN ISIDRO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de los Cuarteles 51,28300,013,Aranjuez,,,918911299,918090214,http://www.educa.madrid.org/cp.sanisidro.aranjuez,cp.sanisidro.aranjuez@educa.madrid.org,449488,4431557
28001629,DOMENICO SCARLATTI,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE de Valeras 22,28300,013,Aranjuez,,,918910057,918923723,http://www.educa.madrid.org/ies.domenicoscarlat.aranjuez,ies.domenicoscarlat.aranjuez@educa.madrid.org,448012,4431221
28001642,PRINCIPE DE ASTURIAS,020,COLEGIO DE EDUCACIÓN ESPECIAL,PÚBLICO,CALLE Zorzales 11,28300,013,Aranjuez,,,918915378,918915378,http://www.educa.madrid.org/cpee.principedeasturias.aranjuez,cpee.principedeasturias.aranjuez@educa.madrid.org,447882,4431228
28001678,JORGE MANRIQUE,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE del Mar Adriático 2,28760,903,Tres Cantos,,,918040964,918046515,http://www.educa.madrid.org/ies.jorgemanrique.trescantos,ies.jorgemanrique.trescantos@educa.madrid.org,440399,4493685
28001681,NTRA. SRA. DE LA MILAGROSA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Leonor de Cortinas 2,28500,014,Arganda del Rey,,,918710205,918700900,http://www.educa.madrid.org/cp.milagrosa.arganda,cp.milagrosa.arganda@educa.madrid.org,462127,4461186
28001769,EL CARRASCAL,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,AVDA del Instituto s/n,28500,014,Arganda del Rey,,,918760082,918701851,http://www.educa.madrid.org/ies.elcarrascal.arganda,ies.elcarrascal.arganda@educa.madrid.org,462479,4460073
28001770,SAN JUAN BAUTISTA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Isaac Peral 20,28500,014,Arganda del Rey,,,918700113,918702196,http://www.educa.madrid.org/cp.sanjuanbautista.arganda,cp.sanjuanbautista.arganda@educa.madrid.org,462730,4460784
28001794,EL TORREON,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de Serranillos 6,28939,015,Arroyomolinos,,,916095705,916095705,http://www.educa.madrid.org/cp.eltorreon.arroyomolinos,cp.eltorreon.arroyomolinos@educa.madrid.org,421881,4457863
28001812,JUAN RAMON JIMENEZ,070,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,PASEO de San Sebastián 23,28490,018,Becerril de la Sierra,,,918538064,918555468,http://www.educa.madrid.org/cp.juanramonjimenez.becerril,cp.juanramonjimenez.becerril@educa.madrid.org,416281,4507436
28001824,BELMONTE DE TAJO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Tomás Díaz Vázquez 8,28390,019,Belmonte de Tajo,,,918747247,918747386,http://www.educa.madrid.org/cp.belmontedetajo.belmonte,cp.belmontedetajo.belmonte@educa.madrid.org,471386,4442716
28001848,PRINCIPE DON FELIPE,070,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CALLE de José Antonio 48,28660,022,Boadilla del Monte,,,916331626,916331954,http://www.educa.madrid.org/cp.principedonfelipe.boadilla,cp.principedonfelipe.boadilla@educa.madrid.org,425441,4473346
28001851,VIRGEN DE EUROPA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,CALLE del Valle de Santa Ana 1,28669,022,Boadilla del Monte,,,916330155,,http://www.cve.edu.es,secretaria@colegiovirgendeeuropa.edu.es,424464,4475964
28001861,TRINITY COLLEGE BOADILLA,072,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PRIVADO,CALLE Playa de Formentor s/n,28660,022,Boadilla del Monte,,,916330181,916321691,http://www.trinitycollege.es/liceoserrano/,nuriabarthe@trinitycollege.es,424290,4477369
28001873,SAN SEBASTIAN,070,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CTRA Mazanares El Real 10,28413,023,"Boalo, El",,,918559382,918559382,http://www.educa.madrid.org/cp.sansebastian.elboalo,cp.sansebastian.elboalo@educa.madrid.org,423816,4507413
28001940,BATALLA DE BRUNETE,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE del Escorial 32,28690,026,Brunete,,,918158969,918159396,http://www.educa.madrid.org/cp.batalladebrunet.brunete,cp.batalladebrunet.brunete@educa.madrid.org,415045,4473287
28001952,PEÑALTA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE Peñalta s/n,28730,027,Buitrago del Lozoya,,,918680107,918680186,http://www.educa.madrid.org/cp.penalta.buitrago,cp.penalta.buitrago@educa.madrid.org,446417,4538003
28001976,GSD INTERNATIONAL SCHOOL  BUITRAGO,073,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA,PRIVADO CONCERTADO,AVDA de Madrid 18,28730,027,Buitrago del Lozoya,,,918680150,918680421,www.gsdeducacion.com,cc.gredossandiego.buitrago@educa.madrid.org,446290,4537673
28001991,MONTELINDO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CTRA de Valdemanco 9,28720,028,Bustarviejo,,,918482308,918482308,http://www.educa.madrid.org/cp.montelindo.bustarviejo,cp.montelindo.bustarviejo@educa.madrid.org,440782,4523528
28002014,PICO DE LA MIEL,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de los Colegios 28,28751,030,"Cabrera, La",,,918688038,918688651,http://www.educa.madrid.org/cp.picodelamiel.lacabrera,cp.picodelamiel.lacabrera@educa.madrid.org,448706,4524776
28002026,EUGENIO MURO,070,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CTRA Rozas de Puerto Real 20,28640,031,Cadalso de los Vidrios,,,918640158,918641288,http://www.educa.madrid.org/cp.eugeniomuro.cadalso,cp.eugeniomuro.cadalso@educa.madrid.org,376734,4462250
28002038,FEDERICO GARCIA LORCA,070,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CALLE de la Huerta s/n,28816,032,Camarma de Esteruelas,,,918865256,918865248,http://www.educa.madrid.org/cp.garcialorca.camarma,cp.garcialorca.camarma@educa.madrid.org,468269,4488523
28002041,MIGUEL DELIBES,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,PASEO Pozuelo 31,28510,033,Campo Real,,,918733125,918733125,http://www.educa.madrid.org/cp.delibes.camporeal,cp.delibes.camporeal@educa.madrid.org,468397,4465657
28002099,TOME Y ORGAZ,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA Fernández Turbica s/n,28977,036,Casarrubuelos,,,918167549,918167546,http://www.educa.madrid.org/cp.tomeyorgaz.casarrubuelos,cp.tomeyorgaz.casarrubuelos@educa.madrid.org,429657,4446952
28002105,SUAREZ SOMONTE,070,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA",PÚBLICO,CALLE de la Ronda del Sur 54,28650,037,Cenicientos,,,918642528,918642528,http://www.educa.madrid.org/cp.suarezsomonte.cenicientos,cp.suarezsomonte.cenicientos@educa.madrid.org,375012,4457835
28002129,VIA ROMANA,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,AVDA Blanca Fernández Ochoa 5,28470,038,Cercedilla,,,918520575,918520575,http://www.educa.madrid.org/cp.viaromana.cercedilla,cp.viaromana.cercedilla@educa.madrid.org,411461,4510509
28002142,REGINA ASSUMPTA,015,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA,PRIVADO CONCERTADO,CALLE de San Andrés 11,28470,038,Cercedilla,,,918520313,,http://www.educa.madrid.org/cc.reginaassumpta.cercedilla,cc.reginaassumpta.cercedilla@educa.madrid.org,410644,4510267
28002166,VENTURA RODRIGUEZ,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE FERNANDEZ VITORIO 12,28350,040,Ciempozuelos,,,918930294,918930294,http://www.educa.madrid.org/cp.venturarodriguez.ciempozuelos,cp.venturarodriguez.ciempozuelos@educa.madrid.org,446550,4445318
28002181,JUAN CARLOS I,042,INSTITUTO DE EDUCACIÓN SECUNDARIA,PÚBLICO,CALLE de San Francisco s/n,28350,040,Ciempozuelos,,,918930158,918933080,http://www.educa.madrid.org/ies.juancarlosprimero.ciempozuelos,ies.juancarlosprimero.ciempozuelos@educa.madrid.org,447174,4444995
28002191,VIRGEN DEL CONSUELO,014,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA,PÚBLICO,CALLE de los Jardines 10,28350,040,Ciempozuelos,,,918930051,918934567,http://www.educa.madrid.org/cp.consuelo.ciempozuelos,cp.consuelo.ciempozuelos@educa.madrid.org,447147,4445312
28002208,SAN JUAN DE DIOS,058,CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA,PRIVADO CONCERTADO,AVDA de San Juan de Dios 1,28350,040,Ciempozuelos,,,918015650,918930275,http://www.ciclosformativossjd.es,cc.sanjuandedios.ciempozuelos@educa.madrid.org,448005,4445613
